stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
36,22,TELANGANA,Dharmapuri,Peddapalle,73346,275029,135996,139033,60661,29794,30867,6238,3170,3068,138778,80656,58122,136251,55340,80911,150495,124258,68986,55272,26237,111085,4110,14276,67450,4897,15360,54701,16194,36696,46151,8803,544
36,23,TELANGANA,Ramagundam,Peddapalle,130451,519104,263476,255627,113500,56900,56599,8726,4344,4381,348698,194107,154591,170405,69369,101036,174207,143656,119241,24414,30550,33214,2921,91683,122575,3594,100031,32796,80425,97346,95636,44128,4024
36,24,TELANGANA,Manthani,Peddapalle,77511,289447,144670,144777,63817,31698,32119,24891,12568,12323,157650,89891,67758,131797,54778,77018,144934,116620,69677,46943,28314,113109,7211,22864,70549,5710,21690,55790,19177,38262,42995,10551,745
36,25,TELANGANA,Peddapalle,Peddapalle,80769,299328,149091,150237,52586,26227,26359,2915,1455,1460,169922,96094,73828,129406,52997,76409,146538,114188,70880,43308,32350,109172,5102,19668,75446,4112,28837,54541,23071,43956,49614,11774,762
36,26,TELANGANA,Karimnagar,Karimnagar,156223,646836,325740,321096,71702,35973,35729,11739,5999,5740,480074,259717,220357,166762,66023,100739,230569,207213,158182,49031,23356,29187,2272,124418,146429,2146,130470,26172,109674,117120,119350,67200,7634
36,27,TELANGANA,Choppadandi,Karimnagar,75217,291112,144349,146763,66451,33235,33216,2737,1372,1365,160333,93045,67288,130779,51304,79475,159540,135950,75120,60830,23590,105202,2803,29540,71867,2744,33169,51593,20639,45349,51560,13409,733
36,28,TELANGANA,Vemulawada,Karimnagar,67185,260580,128244,132336,48944,24089,24855,6046,2998,3048,140548,81462,59086,120032,46782,73250,143855,121651,64589,57062,22204,85867,2396,25900,64728,1953,26831,44295,19986,43584,47049,12144,640
36,29,TELANGANA,Sircilla,Karimnagar,69990,283244,140540,142704,46621,22626,23995,14197,6970,7227,165839,95732,70107,117405,44808,72597,150963,129943,71849,58094,21020,68296,2163,25328,67565,1778,37259,40121,25786,46445,50664,10806,779
36,3,TELANGANA,Bellampally,Peddapalle,55596,216248,109485,106762,55221,27735,27485,24535,12354,12181,121476,69393,52083,94771,40092,54678,94745,63816,44808,19008,30928,56821,4400,16962,46142,8742,18533,32607,20794,26292,29735,7603,531
36,30,TELANGANA,Manakondur,Karimnagar,72104,274131,136621,137510,61409,30705,30704,2306,1170,1136,153781,88938,64843,120350,47683,72667,146647,121108,69079,52029,25539,114908,2488,32389,67880,3414,30490,54150,15839,40394,45782,10861,514
36,31,TELANGANA,Huzurabad,Karimnagar,78659,289150,145914,143236,61919,31336,30583,2616,1294,1322,175384,101119,74265,113766,44795,68971,141126,117370,70083,47287,23756,100003,4095,30130,73135,4579,30925,52868,21736,41516,45349,11076,661
36,32,TELANGANA,Husnabad,Karimnagar,77532,297285,148423,148862,62083,31113,30970,16303,8309,7994,168854,97624,71230,128431,50799,77632,154743,131640,73752,57888,23103,122727,3799,34709,71238,5358,33071,61282,13945,38886,44266,9388,564
