CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,MarginalWorkers2011,MarginalWorkersMale2011,MarginalWorkersFemale2011,PerMarginalWorkers2011,PerMarginalMale2011,PerMarginalFemale2011,PerMarginalWorkersMale2011,PerMarginalWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,MarginalWorkersTotal2001,MarginalWorkersMale2001,MarginalWorkerFemale2001,PerMarginalWorkers2001,PerMarginalMale2001,PerMarginalFemale2001,PerMarginalWorkersMale2001,PerMarginalWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,,PPChangeinMarginal,PPChangeinMarginalMale,PPChangeinMarginalFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Udaipur,130,District - Udaipur ,YM,3068420,1566801,1501619,543860,212207,331653,17.72443147,13.54396634,22.08636145,39.01868128,60.98131872,79.1780973,3.106681867,1.276063693,10.14967087,6.289486265,20.8219027,2633312,1336004,1297308,110941,27786,83155,4.212983498,2.079784192,6.409811702,25.04574504,74.95425496,95.00725611,2.378741854,0.662514309,0.822058572,1.129429156,4.992743891,,8.450078733,7.257183474,9.681913689,-8.61558628,-13.04439364,1.188933179,0.484402675,7.377321735,3.993736052
Pratapgarh,131,District - Pratapgarh ,YM,867848,437744,430104,153771,47482,106289,17.7186558,10.84697906,24.71239514,30.87838409,69.12161591,85.0628532,2.134992944,0.669176893,9.305395686,2.827581273,14.9371468,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,8.450078733,7.257183474,9.681913689,-8.61558628,-13.04439364,1.188933179,0.484402675,7.377321735,3.993736052
Saharanpur,132,District - Saharanpur ,0,3466382,1834106,1632276,154938,109755,45183,4.469732418,5.984114331,2.768098042,70.83801262,29.16198738,50.29882921,12.89354451,6.292194297,8.672501259,21.84293072,49.70117079,2896863,1553322,1343541,2811,1293,1518,0.097036001,0.083240951,0.112985015,45.99786553,54.00213447,43.93454287,23.65706154,9.711846318,9.035930274,13.660619,56.06545713,,4.372696418,5.900873381,2.655113027,-24.8401471,6.364286342,-10.76351703,-3.419652021,-0.363429015,8.182311724
Muzaffarnagar,133,District - Muzaffarnagar ,0,4143512,2193434,1950078,205583,118869,86714,4.961564007,5.419310542,4.446693927,57.82044235,42.17955765,55.51529066,13.19904856,7.102240944,6.684404839,17.499015,44.48470934,3543362,1893832,1649530,47137,32878,14259,1.330290272,1.736056841,0.864428049,69.74987802,30.25012198,11.9333008,25.25404671,14.42815623,22.26913041,26.11536585,88.0666992,,3.631273734,3.683253701,3.582265878,11.92943566,43.58198986,-12.05499816,-7.325915281,-15.58472557,-8.616350852
Bijnor,134,District - Bijnor ,0,3682713,1921215,1761498,247799,171783,76016,6.728707885,8.941373037,4.3154179,69.32352431,30.67647569,54.35171248,12.97140021,4.210267192,9.88301002,18.5836101,45.64828752,3131619,1651908,1479711,10680,7522,3158,0.341037655,0.455352235,0.213420053,70.43071161,29.56928839,5.627340824,27.08801498,17.19101124,16.17977528,33.91385768,94.37265918,,6.38767023,8.486020802,4.101997847,1.107187302,48.72437165,-14.11661477,-12.98074404,-6.296765261,-15.33024757
Moradabad,135,District - Moradabad ,0,4772006,2503186,2268820,312337,204256,108081,6.545192944,8.159841099,4.763753846,65.39603057,34.60396943,54.40982016,14.03452041,3.477974111,6.707818798,21.36986652,45.59017984,3810983,2032302,1778681,30674,22091,8583,0.804884199,1.086993961,0.482548585,72.01864771,27.98135229,1.705027059,42.54091413,16.34609115,17.52624372,21.88172394,98.29497294,,5.740308745,7.072847138,4.28120526,6.622617145,52.7047931,-28.50639372,-12.86811704,-10.81842493,-0.511857413
Rampur,136,District - Rampur ,0,2335819,1223889,1111930,173441,107488,65953,7.425275674,8.782495798,5.931398559,61.97381242,38.02618758,63.14250956,16.2187718,3.374058037,3.023506553,14.24115405,36.85749044,1923739,1023775,899964,19003,14194,4809,0.987815915,1.38643745,0.534354708,74.69346945,25.30653055,1.178761248,23.4647161,17.01310319,24.04883439,34.29458507,98.82123875,,6.437459759,7.396058349,5.397043852,12.71965703,61.96374831,-7.245944296,-13.63904516,-21.02532784,-20.05343101
Jyotiba Phule Nagar,137,District - Jyotiba Phule Nagar ,0,1840221,963449,876772,145212,72212,73000,7.891008743,7.495155426,8.325995812,49.72867256,50.27132744,60.24295513,11.81995978,4.013442415,5.093242983,18.83039969,39.75704487,1499068,795228,703840,3214,2466,748,0.21439988,0.310099745,0.106274153,76.72682016,23.27317984,2.053515868,7.280647169,11.51213441,34.03858121,45.11512134,97.94648413,,7.676608863,7.185055681,8.219721659,26.9981476,58.18943926,4.539312614,-7.498691997,-28.94533822,-26.28472165
Meerut,138,District - Meerut ,0,3443689,1825743,1617946,198841,122831,76010,5.77406961,6.727726739,4.697931822,61.7734773,38.2265227,35.62243199,11.6354273,5.721657002,10.27906719,36.74141651,64.37756801,2997361,1601578,1395783,11323,8289,3034,0.377765641,0.517552064,0.217369032,73.20498101,26.79501899,0.909652919,35.64426389,19.69442727,10.03267685,33.71897907,99.09034708,,5.396303968,6.210174675,4.48056279,11.43150371,34.71277907,-24.00883659,-13.97277027,0.246390342,3.02243744
Baghpat,139,District - Baghpat ,0,1303048,700070,602978,81771,49407,32364,6.275363609,7.057437113,5.367360003,60.42117621,39.57882379,49.25829451,18.58605129,7.27641829,7.550354037,17.32888188,50.74170549,1163991,630077,533914,34833,25358,9475,2.992548911,4.024587471,1.774630371,72.79878276,27.20121724,2.193322424,27.79835214,18.19538943,22.20882496,29.60411104,97.80667758,,3.282814698,3.032849642,3.592729632,12.37760655,47.06497208,-9.212300848,-10.91897114,-14.65847093,-12.27522917
Ghaziabad,140,District - Ghaziabad ,0,4681645,2488834,2192811,266835,160133,106702,5.699599179,6.434057073,4.865991643,60.01199243,39.98800757,26.39796129,14.11546461,6.394963179,9.170461146,43.92114977,73.60203871,3290586,1769042,1521544,32539,23144,9395,0.988851226,1.308278718,0.617464891,71.12695535,28.87304465,18.35336058,17.56968561,12.70475429,23.96816128,27.40403823,81.64663942,,4.710747953,5.125778354,4.248526752,11.11496292,8.044600704,-3.454220995,-6.309791115,-14.79770014,16.51711154
Gautam Buddha Nagar,141,District - Gautam Buddha Nagar ,0,1648115,890214,757901,109846,64964,44882,6.664947531,7.297571146,5.921881618,59.14097919,40.85902081,33.535131,8.762267174,4.142162664,8.040347395,45.52009176,66.464869,1202030,652819,549211,40571,31522,9049,3.375206942,4.828597207,1.647636336,77.69589115,22.30410885,1.476424047,24.23898844,14.14064233,30.20137537,29.94256982,98.52357595,,3.289740589,2.468973939,4.274245281,18.55491196,32.05870695,-15.47672127,-9.998479667,-22.16102797,15.57752195
Bulandshahr,142,District - Bulandshahr ,0,3499171,1845260,1653911,288451,149481,138970,8.243409653,8.100809642,8.402507753,51.82197323,48.17802677,58.10796288,12.46208195,8.540445344,6.463836145,14.42567368,41.89203712,2913122,1550326,1362796,65438,31407,34031,2.246318554,2.025831986,2.497145574,47.99504875,52.00495125,54.107705,12.90993001,6.098902778,7.249610318,19.63385189,45.892295,,5.997091099,6.074977656,5.905362179,-3.826924481,4.000257874,-0.447848062,2.441542566,-0.785774173,-5.208178206
Aligarh,143,District - Aligarh ,0,3673889,1951996,1721893,308574,182437,126137,8.399110588,9.346176939,7.32548422,59.12260916,40.87739084,55.52930577,12.78461568,3.266963516,6.95100689,21.46810814,44.47069423,2992286,1607402,1384884,32112,16818,15294,1.073159451,1.046284626,1.104352422,52.37294469,47.62705531,46.97932237,13.05119581,6.863477828,9.837443946,23.26856004,53.02067763,,7.325951138,8.299892313,6.221131798,-6.74966447,8.549983403,-0.266580131,-3.596514312,-2.886437056,-1.800451904
Mahamaya Nagar,144,District - Mahamaya Nagar ,0,1564708,836127,728581,146881,98986,47895,9.387118875,11.83863217,6.573737169,67.39197037,32.60802963,65.36107461,9.515185763,3.252973496,5.537816328,16.3329498,34.63892539,1336031,718930,617101,107695,26595,81100,8.060815954,3.699247493,13.14209505,24.69473977,75.30526023,63.5396258,20.22563722,2.859928502,6.386554622,6.988253865,36.4603742,,1.32630292,8.139384677,-6.568357886,-42.6972306,1.821448816,-10.71045145,0.393044994,-0.848738294,9.344695938
Mathura,145,District - Mathura ,0,2547184,1367125,1180059,246325,129252,117073,9.670483169,9.454292768,9.920944631,52.47214046,47.52785954,58.28316249,7.824215975,5.111539633,6.577083122,22.20399878,41.71683751,2074516,1127512,947004,260248,44594,215654,12.54499845,3.955079857,22.7722375,17.13519412,82.86480588,86.63889828,3.499354462,5.462097691,1.43209554,2.967554025,13.36110172,,-2.874515279,5.49921291,-12.85129287,-35.33694634,-28.35573579,4.324861513,-0.350558059,5.144987582,19.23644476
Agra,146,District - Agra ,0,4418797,2364953,2053844,338525,206906,131619,7.661021767,8.748841943,6.408422451,61.11985821,38.88014179,42.45801639,11.76102208,4.366885754,5.551140979,35.86293479,57.54198361,3620436,1961282,1659154,139245,26503,112742,3.846083731,1.35131001,6.795149817,19.03335847,80.96664153,87.08535315,3.99583468,5.21167726,0.894107508,2.813027398,12.91464685,,3.814938035,7.397531933,-0.386727367,-42.08649974,-44.62733676,7.765187401,-0.844791505,4.657033471,33.04990739
Firozabad,147,District - Firozabad ,0,2498156,1332046,1166110,187906,124877,63029,7.521788071,9.374826395,5.405064702,66.45716475,33.54283525,45.53234064,17.89352123,4.564516301,3.243643098,28.76597873,54.46765936,2052958,1108668,944290,171446,39838,131608,8.351169386,3.593320994,13.93724386,23.23647096,76.76352904,77.24181375,6.147708316,5.897483756,2.633482263,8.079511916,22.75818625,,-0.829381315,5.781505401,-8.532179153,-43.22069379,-31.70947311,11.74581291,-1.332967455,0.610160836,20.68646682
Mainpuri,148,District - Mainpuri ,0,1868529,993377,875152,135865,82506,53359,7.271227795,8.305608042,6.097112273,60.72645641,39.27354359,69.90100467,4.530968241,2.712987156,2.020387885,20.83465204,30.09899533,1596718,859934,736784,88898,26744,62154,5.567545428,3.110006117,8.435850941,30.0839164,69.9160836,76.35154897,5.239712929,7.98780625,3.606380346,6.814551508,23.64845103,,1.703682367,5.195601925,-2.338738668,-30.64254001,-6.450544292,-0.708744689,-5.274819093,-1.585992461,14.02010054
Budaun,149,District - Budaun ,0,3681896,1967759,1714137,231351,144278,87073,6.283474601,7.332097071,5.079698997,62.36324892,37.63675108,72.40383659,8.005584588,2.417106475,3.653323305,13.52014904,27.59616341,3069426,1666669,1402757,211642,70820,140822,6.895165415,4.249194051,10.03894474,33.46216724,66.53783276,58.23796789,16.8761399,7.3728277,5.845720604,11.66734391,41.76203211,,-0.611690814,3.08290302,-4.959245738,-28.90108167,14.16586871,-8.870555309,-4.955721225,-2.192397298,1.852805127
Bareilly,150,District - Bareilly ,0,4448359,2357665,2090694,356202,241172,115030,8.007492201,10.22927345,5.502000771,67.70652607,32.29347393,46.35571951,20.29354131,3.333221038,5.835733657,24.18178449,53.64428049,3618589,1934119,1684470,136650,28447,108203,3.776333814,1.47079885,6.423563495,20.81741676,79.18258324,81.29308452,7.315770216,2.493230882,3.497255763,5.400658617,18.70691548,,4.231158387,8.758474605,-0.921562724,-46.88910931,-34.93736502,12.97777109,0.839990156,2.338477894,18.78112588
Pilibhit,151,District - Pilibhit ,0,2031007,1072002,959005,155828,113472,42356,7.672450169,10.58505488,4.416661018,72.81874888,27.18125112,69.53949226,9.747927202,2.781271658,4.171265755,13.76004312,30.46050774,1645183,876368,768815,167076,38662,128414,10.15546599,4.411617038,16.70284789,23.14036726,76.85963274,77.21875075,10.87948,4.250760133,2.638320285,5.012688836,22.78124925,,-2.483015819,6.173437841,-12.28618687,-49.67838162,-7.679258487,-1.131552795,-1.469488475,1.532945469,8.747354288
Shahjahanpur,152,District - Shahjahanpur ,0,3006538,1606403,1400135,192926,142931,49995,6.416882142,8.897580495,3.570727108,74.08591895,25.91408105,65.49091361,7.963675192,3.315779107,3.814934223,19.41469786,34.50908639,2547855,1383408,1164447,111297,25366,85931,4.368262715,1.833587777,7.379554415,22.7912702,77.2087298,79.07490768,7.160121117,4.463732176,3.013558317,6.28768071,20.92509232,,2.048619426,7.063992718,-3.808827307,-51.29464875,-13.58399406,0.803554074,-1.147953069,0.801375907,13.12701715
Kheri,153,District - Kheri ,0,4021243,2123187,1898056,306226,202667,103559,7.615207537,9.545414511,5.456056091,66.18216611,33.81783389,71.62520491,4.456839067,1.941050074,3.170207624,18.80669832,28.37479509,3207232,1713908,1493324,43757,10108,33649,1.36432288,0.589763278,2.253295333,23.10030395,76.89969605,78.75996983,6.414973604,4.30331147,3.551431771,6.970313321,21.24003017,,6.250884656,8.955651233,3.202760758,-43.08186216,-7.134764919,-1.958134538,-2.362261396,-0.381224146,11.836385
Sitapur,154,District - Sitapur ,0,4483992,2375264,2108728,397881,270555,127326,8.873365519,11.39052333,6.038047581,67.99897457,32.00102543,71.82549556,5.499382981,1.883729055,2.694775574,18.09661683,28.17450444,3619661,1941374,1678287,216194,40608,175586,5.972769273,2.091714425,10.46221534,18.78312997,81.21687003,88.10003978,3.992247703,2.825702841,1.68321045,3.398799227,11.89996022,,2.900596246,9.298808902,-4.424167761,-49.2158446,-16.27454422,1.507135278,-0.941973786,1.011565124,14.6978176
Hardoi,155,District - Hardoi ,0,4092845,2191442,1901403,349221,226158,123063,8.532475576,10.3200541,6.472220776,64.76071027,35.23928973,74.21661355,6.728117725,1.686038354,2.512735488,14.85649488,25.78338645,3398306,1842698,1555608,131204,21317,109887,3.860864796,1.156836335,7.06392613,16.24721807,83.75278193,87.29002165,5.591292948,2.471723423,1.493856895,3.153105088,12.70997835,,4.671610781,9.163217767,-0.591705355,-48.51349219,-13.0734081,1.136824776,-0.785685069,1.018878594,11.7033898
Unnao,156,District - Unnao ,0,3108367,1630087,1478280,362638,205461,157177,11.66651171,12.60429658,10.63242417,56.65732769,43.34267231,72.46565445,6.581218736,2.305880796,3.072485509,15.5747605,27.53434555,2700324,1422509,1277815,161560,33513,128047,5.982985745,2.355907766,10.02077766,20.74337707,79.25662293,79.71527606,10.30081703,2.995172072,2.532186185,4.456548651,20.28472394,,5.683525963,10.24838881,0.611646513,-35.91395062,-7.249621604,-3.719598298,-0.689291277,0.540299324,11.11821185
Lucknow,157,District - Lucknow ,0,4589838,2394476,2195362,390432,256634,133798,8.506444018,10.71775203,6.094575747,65.73078026,34.26921974,37.1565343,10.29654332,4.79545734,8.916277354,38.83518769,62.8434657,3647834,1932317,1715517,167468,45864,121604,4.59088873,2.373523599,7.088475369,27.38672463,72.61327537,83.81422122,4.679700002,4.794348771,1.6182196,5.093510402,16.18577878,,3.915555288,8.344228427,-0.993899623,-38.34405564,-46.65768692,5.616843314,0.001108568,7.298057754,33.74167729
Rae Bareli,158,District - Rae Bareli ,0,3405559,1752542,1653017,557731,344648,213083,16.37707642,19.66560573,12.89055103,61.79466445,38.20533555,74.81976078,5.037553946,1.386331403,5.696653046,13.05970082,25.18023922,2872335,1472230,1400105,205827,54355,151472,7.165842424,3.692018231,10.81861718,26.40810001,73.59189999,85.19387641,2.965111477,4.782171435,1.608146647,5.450694029,14.80612359,,9.211233997,15.9735875,2.07193386,-35.38656445,-10.37411563,2.072442469,-3.395840032,4.088506399,7.609006794
Farrukhabad,159,District - Farrukhabad ,0,1885204,1006240,878964,117675,70302,47373,6.24203004,6.986603594,5.389640531,59.74251115,40.25748885,57.94858721,18.81198215,2.625026556,3.88357765,16.73082643,42.05141279,1570408,849800,720608,356853,75003,281850,22.72358521,8.825959049,39.11280474,21.01789813,78.98210187,92.10739436,1.735168263,1.59029068,1.747218042,2.819928654,7.892605639,,-16.48155517,-1.839355456,-33.72316421,-38.72461303,-34.15880715,17.07681389,1.034735876,2.136359608,13.91089777
Kannauj,160,District - Kannauj ,0,1656616,881776,774840,105876,65036,40840,6.391100895,7.375569306,5.270765577,61.42657448,38.57342552,64.85794703,18.23359402,2.205410102,3.429483547,11.2735653,35.14205297,1388923,744170,644753,318218,74303,243915,22.9111333,9.98468092,37.8307662,23.34971623,76.65028377,93.54436267,1.191007423,0.647669208,2.881043813,1.735916887,6.45563733,,-16.52003241,-2.609111614,-32.56000062,-38.07685825,-28.68641564,17.04258659,1.557740894,0.548439734,9.537648416
Etawah,161,District - Etawah ,0,1581810,845856,735954,144586,91795,52791,9.140541532,10.85232002,7.173138539,63.48816621,36.51183379,70.96606864,6.430774764,2.828074641,4.076466601,15.69861536,29.03393136,1338871,720749,618122,320657,82443,238214,23.94980547,11.43851743,38.5383468,25.71065032,74.28934968,83.8129216,4.875614753,2.973270504,2.594984672,5.743208475,16.1870784,,-14.80926394,-0.586197415,-31.36520826,-37.77751589,-12.84685296,1.55516001,-0.145195863,1.481481929,9.955406882
Auraiya,162,District - Auraiya ,0,1379545,740040,639505,116118,72667,43451,8.417123037,9.81933409,6.794473851,62.58030624,37.41969376,74.69298472,5.658898706,2.319192546,6.330629188,10.99829484,25.30701528,1179993,635762,544231,86049,21278,64771,7.292331395,3.346849922,11.90138011,24.72777139,75.27222861,90.66345919,1.646736162,2.691489733,0.546200421,4.452114493,9.336540808,,1.124791642,6.472484168,-5.106906262,-37.85253485,-15.97047447,4.012162545,-0.372297187,5.784428767,6.546180345
Kanpur Dehat,163,District - Kanpur Dehat ,0,1796184,963255,832929,179911,107986,71925,10.01629009,11.21053096,8.635189794,60.02189972,39.97810028,74.80643207,6.343136329,2.151063581,5.38710807,11.31225995,25.19356793,1563336,844339,718997,101918,29848,72070,6.519263933,3.535072998,10.02368577,29.28628898,70.71371102,80.3665692,6.297219333,4.78521949,1.918208756,6.632783218,19.6334308,,3.497026158,7.675457962,-1.388495979,-30.73561074,-5.560137134,0.045916995,-2.634155909,3.468899314,4.679476733
Kanpur Nagar,164,District - Kanpur Nagar ,0,4581268,2459806,2121462,343150,232716,110434,7.490284349,9.460746091,5.205561071,67.81757249,32.18242751,37.28252951,10.34387294,6.046335422,10.96925543,35.3580067,62.71747049,4167999,2247216,1920783,201922,52749,149173,4.844578897,2.347304398,7.766259905,26.12345361,73.87654639,76.63008488,8.880161647,4.38436624,1.664504115,8.440883113,23.36991512,,2.645705452,7.113441693,-2.560698835,-41.69411888,-39.34755538,1.463711295,1.661969181,9.304751312,26.91712359
Jalaun,165,District - Jalaun ,0,1689974,906092,783882,200035,110601,89434,11.83657263,12.20637639,11.40911515,55.29082411,44.70917589,74.9748794,4.637688405,1.748194066,6.371385008,12.26785313,25.0251206,1454452,786641,667811,23873,5364,18509,1.641374208,0.681886655,2.771592561,22.46889792,77.53110208,95.01528924,0.921543166,0.816822352,0.43982742,2.806517823,4.984710761,,10.19519843,11.52448974,8.637522586,-32.82192619,-20.04040984,3.716145239,0.931371714,5.931557588,9.461335302
Jhansi,166,District - Jhansi ,0,1998603,1057436,941167,255418,121952,133466,12.77982671,11.53280199,14.1809052,47.74604766,52.25395234,64.49310542,6.916897008,2.631372887,6.505806169,19.45281852,35.50689458,1744931,932818,812113,85735,19318,66417,4.913374798,2.070929163,8.178295385,22.53222138,77.46777862,87.07529014,5.620808305,2.263952878,1.600279932,3.439668747,12.92470986,,7.866451911,9.461872822,6.00260981,-25.21382628,-22.58218472,1.296088703,0.367420009,4.905526236,16.01314977
Lalitpur,167,District - Lalitpur ,0,1221592,641011,580581,146684,48329,98355,12.00760974,7.539496202,16.94078862,32.94769709,67.05230291,83.39628044,3.601619809,1.383927354,4.108150855,7.510021543,16.60371956,977734,519413,458321,146847,41320,105527,15.01911563,7.955133969,23.0246923,28.13813016,71.86186984,83.59040362,5.49483476,2.30103441,3.079395561,5.534331651,16.40959638,,-3.011505887,-0.415637766,-6.083903677,-4.809566928,-0.194123178,-1.893214951,-0.917107056,1.028755294,1.975689892
Hamirpur,168,District - Hamirpur ,0,1104285,593537,510748,115589,43410,72179,25.41713577,19.99815728,30.36584237,37.55547673,62.44452327,86.56619575,1.821972679,0.812361038,5.751412332,5.048058206,13.43380425,1043724,563801,479923,27953,12424,15529,2.678198451,2.203614396,3.235727398,44.44603441,55.55396559,62.77322649,12.15969663,3.720530891,11.44420992,9.902336064,37.22677351,,22.73893732,17.79454288,27.13011497,6.890557683,23.79296926,-10.33772395,-2.908169853,-5.692797592,-4.854277858
Mahoba,169,District - Mahoba ,0,875958,466358,409600,110755,52275,58480,12.64387105,11.2091998,14.27734375,47.19877206,52.80122794,76.15999278,5.242201255,1.533113629,7.99422148,9.070470859,23.84000722,708447,379691,328756,46911,29985,16926,6.621666829,7.897211153,5.148499191,63.91891028,36.08108972,53.44801859,16.18383748,6.631706849,12.37875978,11.3576773,46.55198141,,6.022204224,3.311988646,9.128844559,16.72013821,22.71197419,-10.94163622,-5.09859322,-4.384538299,-2.287206445
Banda,170,District - Banda ,0,1799410,965876,833534,218788,101079,117709,12.1588743,10.46500793,14.1216795,46.19951734,53.80048266,78.19944421,4.57109165,1.582810757,8.919593396,6.727059985,21.80055579,1537334,826544,710790,56068,34576,21492,3.647092954,4.183201378,3.02367788,61.6679746,38.3320254,57.1234929,19.57444532,4.06649069,10.08061639,9.154954698,42.8765071,,8.511781343,6.281806552,11.09800162,15.46845726,21.07595131,-15.00335367,-2.483679932,-1.161022998,-2.427894713
Chitrakoot,171,District - Chitrakoot ,0,991730,527721,464009,111308,45834,65474,11.22361933,8.685271194,14.11050217,41.17763323,58.82236677,82.80626729,4.538757322,1.309878895,5.182915873,6.162180616,17.19373271,766225,409178,357047,56210,19946,36264,7.335965284,4.87465113,10.15664604,35.48478918,64.51521082,78.40775663,9.427148194,2.821562,3.833837395,5.509695784,21.59224337,,3.887654048,3.810620065,3.953856123,-5.69284405,4.398510667,-4.888390872,-1.511683105,1.349078478,0.652484832
Fatehpur,172,District - Fatehpur ,0,2632733,1384722,1248011,394273,192283,201990,14.97580651,13.88603633,16.1849535,48.76900016,51.23099984,75.28818864,6.887106142,1.592297723,5.227849739,11.00455776,24.71181136,2308384,1219602,1088782,103350,32490,70860,4.477158046,2.663983824,6.508189886,31.43686502,68.56313498,84.75858732,6.163522013,1.952588292,3.162070634,3.963231737,15.24141268,,10.49864846,11.22205251,9.676763612,-17.33213514,-9.470398684,0.72358413,-0.36029057,2.065779105,7.041326019
Pratapgarh,173,District - Pratapgarh ,0,3209141,1606085,1603056,153771,47482,106289,17.7186558,10.84697906,24.71239514,30.87838409,69.12161591,85.0628532,2.134992944,0.669176893,9.305395686,2.827581273,14.9371468,2731174,1362948,1368226,95441,41091,54350,3.494504561,3.014861902,3.972296974,43.05382383,56.94617617,76.76051173,11.2215924,2.751438061,4.464538301,4.80191951,23.23948827,,14.22415124,7.832117154,20.74009817,12.17543974,8.302341474,-9.086599453,-2.082261168,4.840857385,-1.974338237
Kaushambi,174,District - Kaushambi,0,1599596,838485,761111,223853,109637,114216,13.99434607,13.0756066,15.00648394,48.97723059,51.02276941,74.59046785,6.900063881,1.627853993,4.669135549,12.21247872,25.40953215,1293154,682290,610864,99147,33663,65484,7.667068269,4.933825793,10.71989837,33.95261581,66.04738419,64.65450291,22.52312223,3.310236316,3.600714091,5.911424451,35.34549709,,6.327277804,8.141780807,4.286585569,-15.02461478,9.935964942,-15.62305835,-1.682382322,1.068421458,6.301054274
Allahabad,175,District - Allahabad,0,5954391,3131807,2822584,825942,445357,380585,13.87114148,14.22044845,13.48356683,53.92109858,46.07890142,55.50910354,8.587891159,2.818478779,6.895762656,26.18876386,44.49089646,4936105,2626448,2309657,141883,55968,85915,2.874391853,2.130938819,3.719816406,39.44658627,60.55341373,78.56614253,11.80550172,2.168688285,3.791856671,3.667810802,21.43385747,,10.99674963,12.08950963,9.763750425,-14.4745123,-23.05703898,-3.217610557,0.649790494,3.103905986,22.52095306
Bara Banki,176,District - Bara Banki,0,3260699,1707073,1553626,358472,193875,164597,10.99371638,11.3571593,10.59437728,54.08372202,45.91627798,76.14709099,6.880872146,1.403735857,2.426967797,13.14133321,23.85290901,2673581,1416921,1256660,147178,50146,97032,5.504901479,3.539082278,7.721420273,34.07166832,65.92833168,85.5576241,4.641998125,1.872562475,4.09368248,3.834132819,14.4423759,,5.488814899,7.818077024,2.87295701,-20.0120537,-9.410533115,2.238874022,-0.468826619,-1.666714683,9.307200396
Faizabad,177,District - Faizabad,0,2470996,1259628,1211368,334475,193802,140673,13.53603972,15.38565354,11.61273866,57.94214814,42.05785186,71.5614022,5.469467075,2.097615666,6.395096793,14.47641827,28.4385978,2088928,1077472,1011456,100873,32612,68261,4.828936182,3.026714383,6.748785909,32.32976118,67.67023882,83.67947816,6.908687161,2.03324973,3.284327818,4.094257135,16.32052184,,8.707103537,12.35893916,4.863952747,-25.61238696,-12.11807596,-1.439220086,0.064365936,3.110768975,10.38216113
Ambedkar Nagar,178,District - Ambedkar Nagar,0,2397888,1212410,1185478,345680,197109,148571,14.41601943,16.25761912,12.53258179,57.02065494,42.97934506,72.52429993,5.740569313,1.426753066,3.568618375,16.73975931,27.47570007,2026876,1024953,1001923,111321,36716,74605,5.492245209,3.582213038,7.446180994,32.98209682,67.01790318,82.66185176,6.144393241,2.575435003,3.34977228,5.268547713,17.33814824,,8.923774222,12.67540608,5.0864008,-24.03855812,-10.13755183,-0.403823929,-1.148681937,0.218846095,11.4712116
Sultanpur,179,District - Sultanpur,0,3797117,1914586,1882531,551617,321626,229991,14.52725844,16.79872307,12.21711621,58.3060348,41.6939652,74.12335008,6.19669082,1.566304157,4.108647848,14.0050071,25.87664992,3214832,1623819,1591013,150127,50610,99517,4.669824115,3.11672668,6.254945748,33.71145763,66.28854237,80.04223091,8.378239757,2.403298541,4.033917949,5.142312842,19.95776909,,9.857434328,13.68199639,5.962170464,-24.59457717,-5.918880833,-2.181548937,-0.836994384,0.074729899,8.862694256
Bahraich,180,District - Bahraich,0,3487731,1843884,1643847,408487,255228,153259,11.71211312,13.84186858,9.32319127,62.48130295,37.51869705,81.57248578,2.9298362,1.213012899,2.858352897,11.42631222,18.42751422,2381072,1275351,1105721,183840,63158,120682,7.720892102,4.952205314,10.91432649,34.3548738,65.6451262,85.55265448,5.623912097,1.759138381,4.199847694,2.864447346,14.44734552,,3.991221016,8.889663263,-1.591135219,-28.12642915,-3.980168699,-2.694075897,-0.546125482,-1.341494796,8.561864875
Shrawasti,181,District - Shrawasti,0,1117361,593897,523464,170993,101200,69793,15.30329052,17.03999178,13.33291306,59.18370927,40.81629073,80.04596679,2.869708117,0.911733229,2.484312223,13.68827964,19.95403321,1176391,631916,544475,85041,34669,50372,7.22897404,5.486330462,9.251480784,40.76739455,59.23260545,72.48503663,10.63722205,3.773473971,6.148798815,6.955468539,27.51496337,,8.074316481,11.55366132,4.081432272,-18.41631472,7.560930165,-7.767513929,-2.861740743,-3.664486591,6.732811098
Balrampur,182,District - Balrampur,0,2148665,1114721,1033944,301402,166337,135065,14.02740772,14.9218504,13.06308659,55.18775589,44.81224411,81.45599565,3.144969177,1.099196422,3.786637116,10.51320164,18.54400435,1682350,887939,794411,110730,43781,66949,6.581864654,4.930631496,8.427501633,39.53851711,60.46148289,79.55748216,11.45398718,1.733044342,3.805653391,3.449832927,20.44251784,,7.445543062,9.991218904,4.635584956,-15.64923877,1.898513483,-8.309017999,-0.63384792,-0.019016275,7.063368711
