CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,MarginalWorkers2011,MarginalWorkersMale2011,MarginalWorkersFemale2011,PerMarginalWorkers2011,PerMarginalMale2011,PerMarginalFemale2011,PerMarginalWorkersMale2011,PerMarginalWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,MarginalWorkersTotal2001,MarginalWorkersMale2001,MarginalWorkerFemale2001,PerMarginalWorkers2001,PerMarginalMale2001,PerMarginalFemale2001,PerMarginalWorkersMale2001,PerMarginalWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,,PPChangeinMarginal,PPChangeinMarginalMale,PPChangeinMarginalFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Bijapur,557,District - Bijapur ,0,2177331,1111022,1066309,65187,26808,38379,25.54049289,20.83582693,30.32306999,41.12476414,58.87523586,96.27226287,0.418795159,0.151870772,0.857532944,2.299538251,3.727737126,1806918,926424,880494,209512,122823,86689,11.59499214,13.25775239,9.845495824,58.62337241,41.37662759,75.23292222,12.33055863,3.197430219,1.880560541,7.35852839,24.76707778,,13.94550075,7.578074538,20.47757417,17.49860827,21.03934066,-11.91176347,-3.045559447,-1.023027597,-5.058990138
Bidar,558,District - Bidar ,0,1703300,870665,832635,150396,74721,75675,8.829683555,8.582060839,9.08861626,49.68283731,50.31716269,68.57363228,6.196973324,3.764727785,4.699593074,16.76507354,31.42636772,1502373,771022,731351,242983,99363,143620,16.17328054,12.88718091,19.63762954,40.89298428,59.10701572,79.84056498,10.971961,2.45120029,2.398110156,4.338163575,20.15943502,,-7.343596981,-4.305120072,-10.54901328,-8.789853027,-11.2669327,-4.774987678,1.313527496,2.301482918,12.42690996
Raichur,559,District - Raichur ,0,1928812,964511,964301,176956,68644,108312,9.174351881,7.116974301,11.2321775,38.791564,61.208436,76.98636949,4.283550713,2.730622302,3.339813287,12.65964421,23.01363051,1669762,841840,827922,186514,110473,76041,11.1700949,13.12280243,9.184560864,59.2304063,40.7695937,52.93543648,16.02131743,7.114211266,9.286702339,14.64233248,47.06456352,,-1.995743019,-6.005828132,2.04761664,20.43884229,24.05093301,-11.73776672,-4.383588964,-5.946889052,-1.982688274
Koppal,560,District - Koppal ,0,1389920,699926,689994,146281,58562,87719,10.52441867,8.366884499,12.7130091,40.03390734,59.96609266,76.72151544,7.012530677,2.873920742,2.875287973,10.51674517,23.27848456,1196089,603312,592777,362728,151577,211151,30.32617138,25.12414804,35.62064655,41.78806158,58.21193842,87.10300831,6.361791756,1.68556053,1.338468494,3.511170905,12.89699169,,-19.80175271,-16.75726354,-22.90763745,1.754154235,-10.38149288,0.650738921,1.188360211,1.536819479,7.005574264
Gadag,561,District - Gadag ,0,1064570,537147,527423,72854,28532,44322,6.843514283,5.311767542,8.403501554,39.16325802,60.83674198,71.75721306,7.071677602,4.274302029,3.642902243,13.25390507,28.24278694,971835,493533,478302,80876,48036,32840,8.321988815,9.733087757,6.865954982,59.39462881,40.60537119,61.96770365,24.56105643,3.57089866,3.170285375,6.730055888,38.03229635,,-1.478474532,-4.421320215,1.537546571,20.23137079,9.789509411,-17.48937883,0.703403369,0.472616868,6.523849182
Dharwad,562,District - Dharwad ,0,1847023,937206,909817,93724,42892,50832,5.074327715,4.576581883,5.587057617,45.76415859,54.23584141,54.55059537,9.501301694,6.772011438,7.798429431,21.37766207,45.44940463,1604253,823204,781049,107625,44968,62657,6.708729857,5.462558491,8.022159941,41.78211382,58.21788618,59.72775842,34.0543554,1.61300813,1.053658537,3.551219512,40.27224158,,-1.634402142,-0.885976608,-2.435102324,-3.982044772,-5.177163055,-24.55305371,5.159003308,6.744770895,17.82644256
Uttara Kannada,563,District - Uttara Kannada ,0,1437169,726256,710913,109605,49086,60519,7.626451726,6.758773766,8.512856003,44.78445326,55.21554674,64.38301172,8.353633502,5.671274121,8.10911911,13.48296154,35.61698828,1353644,686876,666768,71276,50027,21249,5.265490779,7.283265102,3.186865596,70.18772097,29.81227903,73.14243224,9.62736405,4.831920983,4.666367361,7.731915371,26.85756776,,2.360960947,-0.524491336,5.325990407,25.40326771,-8.759420511,-1.273730547,0.839353137,3.442751749,5.751046172
Haveri,564,District - Haveri ,0,1597668,819128,778540,128681,52418,76263,8.054301645,6.399244074,9.795643127,40.73484042,59.26515958,76.14721676,6.869701044,3.2934155,4.156013708,9.533652987,23.85278324,1439116,740469,698647,103346,48836,54510,7.181214023,6.595279478,7.80222344,47.25485263,52.74514737,82.33216573,8.726027132,2.674510866,2.205213554,4.062082712,17.66783427,,0.873087622,-0.196035404,1.993419686,6.520012212,-6.184948974,-1.856326088,0.618904634,1.950800154,5.471570274
Bellary,565,District - Bellary ,0,2452595,1236954,1215641,147392,61612,85780,6.009634693,4.980945128,7.056359567,41.80145462,58.19854538,67.80897199,8.562879939,3.782430525,4.720066218,15.12565132,32.19102801,2027140,1029714,997426,135457,66982,68475,6.682172914,6.504913015,6.86517095,49.4489026,50.5510974,83.55123766,7.5248972,2.134994869,2.304052208,4.48481806,16.44876234,,-0.672538221,-1.523967887,0.191188617,7.647447979,-15.74226567,1.037982739,1.647435656,2.41601401,10.64083326
Chitradurga,566,District - Chitradurga ,0,1659456,840843,818613,188411,68964,119447,11.353781,8.201768939,14.59138812,36.60295843,63.39704157,75.67339487,6.093062507,2.731263037,2.405379728,13.09689986,24.32660513,1517896,776221,741675,207187,129996,77191,13.64961763,16.74729233,10.40765834,62.74331884,37.25668116,53.93919503,15.36582894,7.751934243,7.603276267,15.33976553,46.06080497,,-2.295836631,-8.545523391,4.183729775,26.14036041,21.73419984,-9.27276643,-5.020671206,-5.197896539,-2.242865663
Davanagere,567,District - Davanagere ,0,1945497,986400,959097,169960,81232,88728,8.73607104,8.235198702,9.251201912,47.79477524,52.20522476,61.08849141,9.244528124,5.388326665,4.699929395,19.57872441,38.91150859,1790952,917705,873247,167193,70245,96948,9.335426075,7.654420538,11.10201352,42.01431878,57.98568122,85.7236846,5.188614356,2.173535973,2.111332412,4.802832654,14.2763154,,-0.599355035,0.580778164,-1.850811608,-5.78045646,-24.63519319,4.055913768,3.214790692,2.588596983,14.77589175
Shimoga,568,District - Shimoga ,0,1752753,877415,875338,128065,53747,74318,7.306505823,6.125607609,8.490206069,41.96853161,58.03146839,70.78983329,6.904306407,3.899582243,5.100534885,13.30574318,29.21016671,1642545,830559,811986,177867,64855,113012,10.82874442,7.808596379,13.91797396,36.46263781,63.53736219,76.31826027,9.30245633,3.136051094,5.041969562,6.201262741,23.68173973,,-3.522238595,-1.68298877,-5.427767886,-5.505893791,-5.528426985,-2.398149923,0.763531149,0.058565323,7.104480436
Udupi,569,District - Udupi ,0,1177361,562131,615230,54215,25271,28944,4.604789865,4.495571317,4.704582026,46.6125611,53.3874389,53.95001383,14.99584986,4.935903348,7.820713825,18.29751914,46.04998617,1112243,522231,590012,133216,21898,111318,11.97723879,4.193163562,18.86707389,16.43796541,83.56203459,91.18349147,4.440907999,1.26561374,1.107975018,2.00201177,8.816508528,,-7.372448922,0.302407755,-14.16249186,-30.17459569,-37.23347764,10.55494186,3.670289608,6.712738807,16.29550737
