Table,State_Code,District_Code,District_Name,Rural_or_Urban,Literacy,Total_Population,Male_Population,Female_Population,Total_Main_Workers,Total_Main_Male_Workers,Total_Main_Female_Workers,Total_Marginal_Workers,Total_Marginal_Male_Workers,Total_Marginal_Female_Workers,Seeking_Total_Workers,Seeking_Male_Workers,Seeking_Female_Workers,Total_Person_Nonworkers,Total_Male_Nonworkers,Total_Female_Nonworkers,Total_Person_Nonworkers_Seeking,Total_Male_Nonworkers_Seeking,Total_Female_Nonworkers_Seeking
B0103,01,004,District - Kargil,Total,Matric/secondary but below graduate,30075,21332,8743,13977,12530,1447,3575,2530,1045,2362,1650,712,12523,6272,6251,6112,3058,3054
B0103,01,004,District - Kargil,Total,Technical diploma or certificate not equal to degree,422,280,142,189,143,46,39,27,12,23,16,7,194,110,84,121,61,60
B0103,01,004,District - Kargil,Total,Graduate and above other than technical degree,2598,2026,572,1534,1271,263,198,153,45,132,101,31,866,602,264,565,400,165
B0103,01,004,District - Kargil,Total,Technical degree or diploma equal to degree or post-graduate degree,831,678,153,561,468,93,35,30,5,27,24,3,235,180,55,148,111,37
B0103,01,004,District - Kargil,Rural,Total,124464,67703,56761,22839,19809,3030,21621,13895,7726,12466,8729,3737,80004,33999,46005,14604,5710,8894
B0103,01,004,District - Kargil,Rural,Illiterate,50568,20029,30539,2976,1877,1099,10157,5360,4797,4950,2975,1975,37435,12792,24643,3782,456,3326
B0103,01,004,District - Kargil,Rural,Literate,73896,47674,26222,19863,17932,1931,11464,8535,2929,7516,5754,1762,42569,21207,21362,10822,5254,5568
B0103,01,004,District - Kargil,Rural,Literate but below matric/secondary,42557,24972,17585,5506,5004,502,7123,5419,1704,4670,3734,936,29928,14549,15379,5040,2237,2803
B0103,01,004,District - Kargil,Rural,Matric/secondary but below graduate,23837,16720,7117,10281,9202,1079,3188,2261,927,2201,1540,661,10368,5257,5111,4919,2493,2426
B0103,01,004,District - Kargil,Rural,Technical diploma or certificate not equal to degree,329,210,119,141,100,41,33,24,9,18,14,4,155,86,69,93,45,48
B0103,01,004,District - Kargil,Rural,Graduate and above other than technical degree,1794,1418,376,1017,857,160,159,127,32,115,93,22,618,434,184,389,281,108
B0103,01,004,District - Kargil,Rural,Technical degree or diploma equal to degree or post-graduate degree,567,480,87,372,320,52,30,25,5,22,19,3,165,135,30,96,78,18
