Table,State_Code,District_Code,District_Name,Rural_or_Urban,Literacy,Total_Population,Male_Population,Female_Population,Total_Main_Workers,Total_Main_Male_Workers,Total_Main_Female_Workers,Total_Marginal_Workers,Total_Marginal_Male_Workers,Total_Marginal_Female_Workers,Seeking_Total_Workers,Seeking_Male_Workers,Seeking_Female_Workers,Total_Person_Nonworkers,Total_Male_Nonworkers,Total_Female_Nonworkers,Total_Person_Nonworkers_Seeking,Total_Male_Nonworkers_Seeking,Total_Female_Nonworkers_Seeking
B0103,10,234,District - Rohtas,Urban,Illiterate,141980,62446,79534,16912,13729,3183,7974,4792,3182,4143,2804,1339,117094,43925,73169,4451,1533,2918
B0103,10,234,District - Rohtas,Urban,Literate,285785,162824,122961,71661,65450,6211,17313,13893,3420,9767,8180,1587,196811,83481,113330,26635,14973,11662
B0103,10,234,District - Rohtas,Urban,Literate but below matric/secondary,150051,78576,71475,24273,22274,1999,8071,6397,1674,4465,3771,694,117707,49905,67802,7701,3761,3940
B0103,10,234,District - Rohtas,Urban,Matric/secondary but below graduate,84063,48837,35226,24710,22649,2061,5558,4519,1039,3182,2659,523,53795,21669,32126,11270,6359,4911
B0103,10,234,District - Rohtas,Urban,Technical diploma or certificate not equal to degree,440,403,37,185,179,6,39,38,1,23,23,0,216,186,30,83,76,7
B0103,10,234,District - Rohtas,Urban,Graduate and above other than technical degree,38288,26838,11450,17946,16338,1608,2462,2096,366,1409,1204,205,17880,8404,9476,6144,3859,2285
B0103,10,234,District - Rohtas,Urban,Technical degree or diploma equal to degree or post-graduate degree,3668,2994,674,1826,1639,187,141,121,20,67,60,7,1701,1234,467,646,510,136
B0103,10,235,District - Aurangabad,Total,Total,2540073,1318684,1221389,480286,382278,98008,357484,216879,140605,181077,129127,51950,1702303,719527,982776,118291,54720,63571
B0103,10,235,District - Aurangabad,Total,Illiterate,1074071,449951,624120,146167,90894,55273,147748,62645,85103,68752,37023,31729,780156,296412,483744,28791,6169,22622
B0103,10,235,District - Aurangabad,Total,Literate,1466002,868733,597269,334119,291384,42735,209736,154234,55502,112325,92104,20221,922147,423115,499032,89500,48551,40949
B0103,10,235,District - Aurangabad,Total,Literate but below matric/secondary,931593,506267,425326,145636,123429,22207,113123,78197,34926,58673,46528,12145,672834,304641,368193,37144,17114,20030
B0103,10,235,District - Aurangabad,Total,Matric/secondary but below graduate,381484,258686,122798,127569,115112,12457,67549,54946,12603,38070,33133,4937,186366,88628,97738,38734,23032,15702
B0103,10,235,District - Aurangabad,Total,Technical diploma or certificate not equal to degree,2680,2494,186,930,892,38,291,276,15,190,179,11,1459,1326,133,543,502,41
B0103,10,235,District - Aurangabad,Total,Graduate and above other than technical degree,73492,58567,14925,37064,34105,2959,11252,9904,1348,6447,5834,613,25176,14558,10618,8219,5577,2642
B0103,10,235,District - Aurangabad,Total,Technical degree or diploma equal to degree or post-graduate degree,4248,3596,652,2143,1943,200,382,320,62,226,195,31,1723,1333,390,642,527,115
B0103,10,235,District - Aurangabad,Rural,Total,2303219,1194619,1108600,432194,341302,90892,340339,205026,135313,172230,122559,49671,1530686,648291,882395,102991,46927,56064
B0103,10,235,District - Aurangabad,Rural,Illiterate,995181,415047,580134,136223,83878,52345,142520,59680,82840,66345,35460,30885,716438,271489,444949,26746,5443,21303
B0103,10,235,District - Aurangabad,Rural,Literate,1308038,779572,528466,295971,257424,38547,197819,145346,52473,105885,87099,18786,814248,376802,437446,76245,41484,34761
B0103,10,235,District - Aurangabad,Rural,Literate but below matric/secondary,849307,463391,385916,133184,112366,20818,108016,74465,33551,56092,44541,11551,608107,276560,331547,33437,15349,18088
B0103,10,235,District - Aurangabad,Rural,Matric/secondary but below graduate,332794,230844,101950,113897,102899,10998,63356,51819,11537,35639,31266,4373,155541,76126,79415,32491,19726,12765
B0103,10,235,District - Aurangabad,Rural,Technical diploma or certificate not equal to degree,2040,1922,118,689,663,26,250,235,15,157,146,11,1101,1024,77,410,388,22
B0103,10,235,District - Aurangabad,Rural,Graduate and above other than technical degree,54955,45246,9709,27880,25850,2030,9674,8618,1056,5541,5087,454,17401,10778,6623,5670,4085,1585
B0103,10,235,District - Aurangabad,Rural,Technical degree or diploma equal to degree or post-graduate degree,2681,2317,364,1304,1202,102,291,249,42,172,153,19,1086,866,220,392,327,65
B0103,10,235,District - Aurangabad,Urban,Total,236854,124065,112789,48092,40976,7116,17145,11853,5292,8847,6568,2279,171617,71236,100381,15300,7793,7507
B0103,10,235,District - Aurangabad,Urban,Illiterate,78890,34904,43986,9944,7016,2928,5228,2965,2263,2407,1563,844,63718,24923,38795,2045,726,1319
B0103,10,235,District - Aurangabad,Urban,Literate,157964,89161,68803,38148,33960,4188,11917,8888,3029,6440,5005,1435,107899,46313,61586,13255,7067,6188
B0103,10,235,District - Aurangabad,Urban,Literate but below matric/secondary,82286,42876,39410,12452,11063,1389,5107,3732,1375,2581,1987,594,64727,28081,36646,3707,1765,1942
B0103,10,235,District - Aurangabad,Urban,Matric/secondary but below graduate,48690,27842,20848,13672,12213,1459,4193,3127,1066,2431,1867,564,30825,12502,18323,6243,3306,2937
B0103,10,235,District - Aurangabad,Urban,Technical diploma or certificate not equal to degree,640,572,68,241,229,12,41,41,0,33,33,0,358,302,56,133,114,19
B0103,10,235,District - Aurangabad,Urban,Graduate and above other than technical degree,18537,13321,5216,9184,8255,929,1578,1286,292,906,747,159,7775,3780,3995,2549,1492,1057
B0103,10,235,District - Aurangabad,Urban,Technical degree or diploma equal to degree or post-graduate degree,1567,1279,288,839,741,98,91,71,20,54,42,12,637,467,170,250,200,50
B0103,10,236,District - Gaya,Total,Total,4391418,2266566,2124852,1007057,734465,272592,657005,341705,315300,311301,192985,118316,2727356,1190396,1536960,185188,88701,96487
B0103,10,236,District - Gaya,Total,Illiterate,2093805,897763,1196042,408514,233191,175323,343672,133641,210031,157302,77189,80113,1341619,530931,810688,50804,13169,37635
B0103,10,236,District - Gaya,Total,Literate,2297613,1368803,928810,598543,501274,97269,313333,208064,105269,153999,115796,38203,1385737,659465,726272,134384,75532,58852
B0103,10,236,District - Gaya,Total,Literate but below matric/secondary,1461993,818248,643745,279589,228026,51563,179267,114021,65246,83437,61604,21833,1003137,476201,526936,54685,27284,27401
B0103,10,236,District - Gaya,Total,Matric/secondary but below graduate,521967,345435,176532,188811,165161,23650,78936,57492,21444,42649,33792,8857,254220,122782,131438,54379,32764,21615
B0103,10,236,District - Gaya,Total,Technical diploma or certificate not equal to degree,3197,2766,431,1157,1066,91,279,245,34,176,159,17,1761,1455,306,687,587,100
B0103,10,236,District - Gaya,Total,Graduate and above other than technical degree,120320,91094,29226,62121,55995,6126,14383,11625,2758,7928,6632,1296,43816,23474,20342,13283,8903,4380
B0103,10,236,District - Gaya,Total,Technical degree or diploma equal to degree or post-graduate degree,8866,7024,1842,4277,3740,537,859,670,189,504,403,101,3730,2614,1116,1360,1013,347
B0103,10,236,District - Gaya,Rural,Total,3809817,1960592,1849225,876059,625378,250681,607726,312305,295421,287050,176807,110243,2326032,1022909,1303123,141506,66144,75362
B0103,10,236,District - Gaya,Rural,Illiterate,1913909,817175,1096734,383367,215330,168037,329077,126703,202374,150484,73340,77144,1201465,475142,726323,44105,10846,33259
B0103,10,236,District - Gaya,Rural,Literate,1895908,1143417,752491,492692,410048,82644,278649,185602,93047,136566,103467,33099,1124567,547767,576800,97401,55298,42103
B0103,10,236,District - Gaya,Rural,Literate but below matric/secondary,1285368,727412,557956,250527,203653,46874,166590,106167,60423,77676,57499,20177,868251,417592,450659,45523,22776,22747
B0103,10,236,District - Gaya,Rural,Matric/secondary but below graduate,398358,276045,122313,153614,134388,19226,67409,50047,17362,36290,29435,6855,177335,91610,85725,38190,24003,14187
B0103,10,236,District - Gaya,Rural,Technical diploma or certificate not equal to degree,1504,1347,157,533,488,45,138,121,17,81,74,7,833,738,95,346,317,29
B0103,10,236,District - Gaya,Rural,Graduate and above other than technical degree,63197,51997,11200,35155,32082,3073,9174,7834,1340,5119,4525,594,18868,12081,6787,6051,4515,1536
B0103,10,236,District - Gaya,Rural,Technical degree or diploma equal to degree or post-graduate degree,3081,2606,475,1579,1410,169,335,287,48,195,174,21,1167,909,258,418,334,84
B0103,10,236,District - Gaya,Urban,Total,581601,305974,275627,130998,109087,21911,49279,29400,19879,24251,16178,8073,401324,167487,233837,43682,22557,21125
B0103,10,236,District - Gaya,Urban,Illiterate,179896,80588,99308,25147,17861,7286,14595,6938,7657,6818,3849,2969,140154,55789,84365,6699,2323,4376
B0103,10,236,District - Gaya,Urban,Literate,401705,225386,176319,105851,91226,14625,34684,22462,12222,17433,12329,5104,261170,111698,149472,36983,20234,16749
B0103,10,236,District - Gaya,Urban,Literate but below matric/secondary,176625,90836,85789,29062,24373,4689,12677,7854,4823,5761,4105,1656,134886,58609,76277,9162,4508,4654
B0103,10,236,District - Gaya,Urban,Matric/secondary but below graduate,123609,69390,54219,35197,30773,4424,11527,7445,4082,6359,4357,2002,76885,31172,45713,16189,8761,7428
B0103,10,236,District - Gaya,Urban,Technical diploma or certificate not equal to degree,1693,1419,274,624,578,46,141,124,17,95,85,10,928,717,211,341,270,71
B0103,10,236,District - Gaya,Urban,Graduate and above other than technical degree,57123,39097,18026,26966,23913,3053,5209,3791,1418,2809,2107,702,24948,11393,13555,7232,4388,2844
B0103,10,236,District - Gaya,Urban,Technical degree or diploma equal to degree or post-graduate degree,5785,4418,1367,2698,2330,368,524,383,141,309,229,80,2563,1705,858,942,679,263
B0103,10,237,District - Nawada,Total,Total,2219146,1144668,1074478,508509,375966,132543,308532,163473,145059,137151,86748,50403,1402105,605229,796876,80470,41318,39152
B0103,10,237,District - Nawada,Total,Illiterate,1128134,485194,642940,225614,134274,91340,170067,67755,102312,71715,35967,35748,732453,283165,449288,23306,6961,16345
B0103,10,237,District - Nawada,Total,Literate,1091012,659474,431538,282895,241692,41203,138465,95718,42747,65436,50781,14655,669652,322064,347588,57164,34357,22807
B0103,10,237,District - Nawada,Total,Literate but below matric/secondary,696695,392249,304446,130108,108309,21799,75683,49787,25896,34433,26102,8331,490904,234153,256751,22478,11918,10560
B0103,10,237,District - Nawada,Total,Matric/secondary but below graduate,254901,173507,81394,94412,83830,10582,38516,29378,9138,19449,15972,3477,121973,60299,61674,24005,15326,8679
B0103,10,237,District - Nawada,Total,Technical diploma or certificate not equal to degree,993,886,107,311,293,18,113,102,11,72,67,5,569,491,78,212,190,22
B0103,10,237,District - Nawada,Total,Graduate and above other than technical degree,49294,39406,9888,25588,23439,2149,6100,5202,898,3264,2877,387,17606,10765,6841,5784,4275,1509
B0103,10,237,District - Nawada,Total,Technical degree or diploma equal to degree or post-graduate degree,2677,2248,429,1424,1271,153,227,189,38,120,99,21,1026,788,238,377,302,75
B0103,10,237,District - Nawada,Rural,Total,2003567,1031656,971911,460770,335533,125237,294601,154832,139769,130206,81762,48444,1248196,541291,706905,67736,34150,33586
B0103,10,237,District - Nawada,Rural,Illiterate,1049475,449576,599899,212796,124880,87916,164886,65225,99661,69240,34426,34814,671793,259471,412322,21513,6242,15271
B0103,10,237,District - Nawada,Rural,Literate,954092,582080,372012,247974,210653,37321,129715,89607,40108,60966,47336,13630,576403,281820,294583,46223,27908,18315
B0103,10,237,District - Nawada,Rural,Literate but below matric/secondary,625906,355154,270752,118423,97942,20481,71797,47101,24696,32498,24615,7883,435686,210111,225575,19614,10451,9163
B0103,10,237,District - Nawada,Rural,Matric/secondary but below graduate,212696,149327,63369,81849,72597,9252,35650,27376,8274,17907,14813,3094,95197,49354,45843,18811,12266,6545
B0103,10,237,District - Nawada,Rural,Technical diploma or certificate not equal to degree,694,634,60,220,208,12,90,83,7,55,52,3,384,343,41,145,137,8
B0103,10,237,District - Nawada,Rural,Graduate and above other than technical degree,33587,28072,5515,17937,16542,1395,4936,4307,629,2623,2359,264,10714,7223,3491,3596,2797,799
B0103,10,237,District - Nawada,Rural,Technical degree or diploma equal to degree or post-graduate degree,1500,1293,207,809,733,76,159,133,26,82,67,15,532,427,105,185,149,36
B0103,10,237,District - Nawada,Urban,Total,215579,113012,102567,47739,40433,7306,13931,8641,5290,6945,4986,1959,153909,63938,89971,12734,7168,5566
B0103,10,237,District - Nawada,Urban,Illiterate,78659,35618,43041,12818,9394,3424,5181,2530,2651,2475,1541,934,60660,23694,36966,1793,719,1074
B0103,10,237,District - Nawada,Urban,Literate,136920,77394,59526,34921,31039,3882,8750,6111,2639,4470,3445,1025,93249,40244,53005,10941,6449,4492
B0103,10,237,District - Nawada,Urban,Literate but below matric/secondary,70789,37095,33694,11685,10367,1318,3886,2686,1200,1935,1487,448,55218,24042,31176,2864,1467,1397
B0103,10,237,District - Nawada,Urban,Matric/secondary but below graduate,42205,24180,18025,12563,11233,1330,2866,2002,864,1542,1159,383,26776,10945,15831,5194,3060,2134
B0103,10,237,District - Nawada,Urban,Technical diploma or certificate not equal to degree,299,252,47,91,85,6,23,19,4,17,15,2,185,148,37,67,53,14
B0103,10,237,District - Nawada,Urban,Graduate and above other than technical degree,15707,11334,4373,7651,6897,754,1164,895,269,641,518,123,6892,3542,3350,2188,1478,710
B0103,10,237,District - Nawada,Urban,Technical degree or diploma equal to degree or post-graduate degree,1177,955,222,615,538,77,68,56,12,38,32,6,494,361,133,192,153,39
B0103,10,238,District - Jamui,Total,Total,1760405,916064,844341,445352,308268,137084,282219,144020,138199,123714,80133,43581,1032834,463776,569058,50903,25491,25412
B0103,10,238,District - Jamui,Total,Illiterate,901817,381679,520138,212343,112647,99696,154625,56028,98597,62471,31296,31175,534849,213004,321845,15135,3812,11323
B0103,10,238,District - Jamui,Total,Literate,858588,534385,324203,233009,195621,37388,127594,87992,39602,61243,48837,12406,497985,250772,247213,35768,21679,14089
B0103,10,238,District - Jamui,Total,Literate but below matric/secondary,600332,355820,244512,129166,106637,22529,81563,54336,27227,37636,29474,8162,389603,194847,194756,16645,9165,7480
B0103,10,238,District - Jamui,Total,Matric/secondary but below graduate,159770,114339,45431,61830,54917,6913,25289,20239,5050,13532,11708,1824,72651,39183,33468,13550,8918,4632
B0103,10,238,District - Jamui,Total,Technical diploma or certificate not equal to degree,657,588,69,270,249,21,37,32,5,21,20,1,350,307,43,119,103,16
B0103,10,238,District - Jamui,Total,Graduate and above other than technical degree,25928,20710,5218,13555,12395,1160,3085,2664,421,1728,1562,166,9288,5651,3637,2859,2090,769
B0103,10,238,District - Jamui,Total,Technical degree or diploma equal to degree or post-graduate degree,1508,1269,239,800,711,89,101,85,16,57,51,6,607,473,134,210,170,40
B0103,10,238,District - Jamui,Rural,Total,1615072,839776,775296,410989,281445,129544,269440,135668,133772,116953,75023,41930,934643,422663,511980,43316,21593,21723
B0103,10,238,District - Jamui,Rural,Illiterate,847761,358592,489169,202650,107272,95378,149560,53623,95937,59908,29787,30121,495551,197697,297854,13881,3500,10381
B0103,10,238,District - Jamui,Rural,Literate,767311,481184,286127,208339,174173,34166,119880,82045,37835,57045,45236,11809,439092,224966,214126,29435,18093,11342
B0103,10,238,District - Jamui,Rural,Literate but below matric/secondary,547619,327142,220477,118644,97715,20929,77562,51421,26141,35526,27734,7792,351413,178006,173407,14708,8219,6489
B0103,10,238,District - Jamui,Rural,Matric/secondary but below graduate,134553,98790,35763,53615,47575,6040,23041,18347,4694,12209,10522,1687,57897,32868,25029,10623,7202,3421
B0103,10,238,District - Jamui,Rural,Technical diploma or certificate not equal to degree,472,429,43,193,181,12,30,26,4,17,16,1,249,222,27,83,71,12
B0103,10,238,District - Jamui,Rural,Graduate and above other than technical degree,18302,15152,3150,9720,8936,784,2488,2146,342,1390,1254,136,6094,4070,2024,1838,1429,409
B0103,10,238,District - Jamui,Rural,Technical degree or diploma equal to degree or post-graduate degree,859,737,122,463,417,46,61,51,10,31,27,4,335,269,66,101,87,14
B0103,10,238,District - Jamui,Urban,Total,145333,76288,69045,34363,26823,7540,12779,8352,4427,6761,5110,1651,98191,41113,57078,7587,3898,3689
B0103,10,238,District - Jamui,Urban,Illiterate,54056,23087,30969,9693,5375,4318,5065,2405,2660,2563,1509,1054,39298,15307,23991,1254,312,942
B0103,10,238,District - Jamui,Urban,Literate,91277,53201,38076,24670,21448,3222,7714,5947,1767,4198,3601,597,58893,25806,33087,6333,3586,2747
B0103,10,238,District - Jamui,Urban,Literate but below matric/secondary,52713,28678,24035,10522,8922,1600,4001,2915,1086,2110,1740,370,38190,16841,21349,1937,946,991
B0103,10,238,District - Jamui,Urban,Matric/secondary but below graduate,25217,15549,9668,8215,7342,873,2248,1892,356,1323,1186,137,14754,6315,8439,2927,1716,1211
B0103,10,238,District - Jamui,Urban,Technical diploma or certificate not equal to degree,185,159,26,77,68,9,7,6,1,4,4,0,101,85,16,36,32,4
B0103,10,238,District - Jamui,Urban,Graduate and above other than technical degree,7626,5558,2068,3835,3459,376,597,518,79,338,308,30,3194,1581,1613,1021,661,360
B0103,10,238,District - Jamui,Urban,Technical degree or diploma equal to degree or post-graduate degree,649,532,117,337,294,43,40,34,6,26,24,2,272,204,68,109,83,26
B0103,10,239,District - Jehanabad ,Total,Total,1125313,585582,539731,251690,200878,50812,113688,65545,48143,55076,36236,18840,759935,319159,440776,55344,26976,28368
B0103,10,239,District - Jehanabad ,Total,Illiterate,506432,211170,295262,88585,55831,32754,54806,22291,32515,25076,12191,12885,363041,133048,229993,13388,2995,10393
B0103,10,239,District - Jehanabad ,Total,Literate,618881,374412,244469,163105,145047,18058,58882,43254,15628,30000,24045,5955,396894,186111,210783,41956,23981,17975
B0103,10,239,District - Jehanabad ,Total,Literate but below matric/secondary,354352,193632,160720,56788,48886,7902,26483,18136,8347,12834,9867,2967,271081,126610,144471,13928,6660,7268
B0103,10,239,District - Jehanabad ,Total,Matric/secondary but below graduate,182623,125159,57464,69756,63807,5949,21819,17524,4295,11956,10144,1812,91048,43828,47220,20521,12547,7974
B0103,10,239,District - Jehanabad ,Total,Technical diploma or certificate not equal to degree,1304,1187,117,429,415,14,81,74,7,35,32,3,794,698,96,299,270,29
B0103,10,239,District - Jehanabad ,Total,Graduate and above other than technical degree,35792,28646,7146,19600,18152,1448,3606,3099,507,1843,1608,235,12586,7395,5191,4251,3051,1200
B0103,10,239,District - Jehanabad ,Total,Technical degree or diploma equal to degree or post-graduate degree,2292,1874,418,1221,1053,168,130,109,21,70,61,9,941,712,229,319,266,53
B0103,10,239,District - Jehanabad ,Rural,Total,990117,514154,475963,223517,176235,47282,104895,59970,44925,50513,32906,17607,661705,277949,383756,45415,21677,23738
B0103,10,239,District - Jehanabad ,Rural,Illiterate,458676,190014,268662,81894,50629,31265,50956,20481,30475,23175,11039,12136,325826,118904,206922,11665,2523,9142
B0103,10,239,District - Jehanabad ,Rural,Literate,531441,324140,207301,141623,125606,16017,53939,39489,14450,27338,21867,5471,335879,159045,176834,33750,19154,14596
B0103,10,239,District - Jehanabad ,Rural,Literate but below matric/secondary,311916,171496,140420,51048,43727,7321,24546,16697,7849,11791,9029,2762,236322,111072,125250,11700,5538,6162
B0103,10,239,District - Jehanabad ,Rural,Matric/secondary but below graduate,154001,108100,45901,61341,56112,5229,20095,16169,3926,10983,9342,1641,72565,35819,36746,16457,10157,6300
B0103,10,239,District - Jehanabad ,Rural,Technical diploma or certificate not equal to degree,970,887,83,318,306,12,59,55,4,26,24,2,593,526,67,220,202,18
B0103,10,239,District - Jehanabad ,Rural,Graduate and above other than technical degree,26469,21675,4794,14741,13715,1026,3064,2647,417,1584,1389,195,8664,5313,3351,2997,2161,836
B0103,10,239,District - Jehanabad ,Rural,Technical degree or diploma equal to degree or post-graduate degree,1471,1224,247,774,676,98,98,83,15,50,45,5,599,465,134,183,156,27
B0103,10,239,District - Jehanabad ,Urban,Total,135196,71428,63768,28173,24643,3530,8793,5575,3218,4563,3330,1233,98230,41210,57020,9929,5299,4630
B0103,10,239,District - Jehanabad ,Urban,Illiterate,47756,21156,26600,6691,5202,1489,3850,1810,2040,1901,1152,749,37215,14144,23071,1723,472,1251
B0103,10,239,District - Jehanabad ,Urban,Literate,87440,50272,37168,21482,19441,2041,4943,3765,1178,2662,2178,484,61015,27066,33949,8206,4827,3379
B0103,10,239,District - Jehanabad ,Urban,Literate but below matric/secondary,42436,22136,20300,5740,5159,581,1937,1439,498,1043,838,205,34759,15538,19221,2228,1122,1106
B0103,10,239,District - Jehanabad ,Urban,Matric/secondary but below graduate,28622,17059,11563,8415,7695,720,1724,1355,369,973,802,171,18483,8009,10474,4064,2390,1674
B0103,10,239,District - Jehanabad ,Urban,Technical diploma or certificate not equal to degree,334,300,34,111,109,2,22,19,3,9,8,1,201,172,29,79,68,11
B0103,10,239,District - Jehanabad ,Urban,Graduate and above other than technical degree,9323,6971,2352,4859,4437,422,542,452,90,259,219,40,3922,2082,1840,1254,890,364
B0103,10,239,District - Jehanabad ,Urban,Technical degree or diploma equal to degree or post-graduate degree,821,650,171,447,377,70,32,26,6,20,16,4,342,247,95,136,110,26
B0103,10,240,District - Arwal,Total,Total,700843,363497,337346,161277,126761,34516,75077,41230,33847,38107,25026,13081,464489,195506,268983,30697,14252,16445
B0103,10,240,District - Arwal,Total,Illiterate,314492,128218,186274,54253,32558,21695,36988,13272,23716,17468,8152,9316,223251,82388,140863,7088,1356,5732
B0103,10,240,District - Arwal,Total,Literate,386351,235279,151072,107024,94203,12821,38089,27958,10131,20639,16874,3765,241238,113118,128120,23609,12896,10713
B0103,10,240,District - Arwal,Total,Literate but below matric/secondary,234896,128919,105977,41983,35547,6436,19114,12931,6183,10097,7823,2274,173799,80441,93358,7886,3286,4600
B0103,10,240,District - Arwal,Total,Matric/secondary but below graduate,113095,79472,33623,46558,42392,4166,14073,11444,2629,8019,7010,1009,52464,25636,26828,12297,7365,4932
B0103,10,240,District - Arwal,Total,Technical diploma or certificate not equal to degree,384,365,19,156,153,3,31,31,0,20,20,0,197,181,16,85,76,9
B0103,10,240,District - Arwal,Total,Graduate and above other than technical degree,17423,14558,2865,10142,9471,671,1885,1687,198,1132,1039,93,5396,3400,1996,1994,1493,501
B0103,10,240,District - Arwal,Total,Technical degree or diploma equal to degree or post-graduate degree,1254,1091,163,668,595,73,71,64,7,44,39,5,515,432,83,226,193,33
B0103,10,240,District - Arwal,Rural,Total,648994,336420,312574,150712,117270,33442,71314,39026,32288,36226,23568,12658,426968,180124,246844,28329,12939,15390
B0103,10,240,District - Arwal,Rural,Illiterate,294759,120153,174606,51985,30779,21206,35533,12797,22736,16894,7822,9072,207241,76577,130664,6747,1263,5484
B0103,10,240,District - Arwal,Rural,Literate,354235,216267,137968,98727,86491,12236,35781,26229,9552,19332,15746,3586,219727,103547,116180,21582,11676,9906
B0103,10,240,District - Arwal,Rural,Literate but below matric/secondary,215977,118780,97197,38680,32485,6195,18001,12187,5814,9486,7328,2158,159296,74108,85188,7365,3026,4339
B0103,10,240,District - Arwal,Rural,Matric/secondary but below graduate,103772,73241,30531,43284,39321,3963,13241,10746,2495,7494,6526,968,47247,23174,24073,11162,6656,4506
B0103,10,240,District - Arwal,Rural,Technical diploma or certificate not equal to degree,360,342,18,151,148,3,29,29,0,18,18,0,180,165,15,80,72,8
B0103,10,240,District - Arwal,Rural,Graduate and above other than technical degree,15881,13286,2595,9262,8653,609,1766,1583,183,1060,974,86,4853,3050,1803,1799,1343,456
B0103,10,240,District - Arwal,Rural,Technical degree or diploma equal to degree or post-graduate degree,1112,975,137,590,532,58,69,62,7,42,37,5,453,381,72,199,169,30
B0103,10,240,District - Arwal,Urban,Total,51849,27077,24772,10565,9491,1074,3763,2204,1559,1881,1458,423,37521,15382,22139,2368,1313,1055
B0103,10,240,District - Arwal,Urban,Illiterate,19733,8065,11668,2268,1779,489,1455,475,980,574,330,244,16010,5811,10199,341,93,248
B0103,10,240,District - Arwal,Urban,Literate,32116,19012,13104,8297,7712,585,2308,1729,579,1307,1128,179,21511,9571,11940,2027,1220,807
B0103,10,240,District - Arwal,Urban,Literate but below matric/secondary,18919,10139,8780,3303,3062,241,1113,744,369,611,495,116,14503,6333,8170,521,260,261
B0103,10,240,District - Arwal,Urban,Matric/secondary but below graduate,9323,6231,3092,3274,3071,203,832,698,134,525,484,41,5217,2462,2755,1135,709,426
B0103,10,240,District - Arwal,Urban,Technical diploma or certificate not equal to degree,24,23,1,5,5,0,2,2,0,2,2,0,17,16,1,5,4,1
B0103,10,240,District - Arwal,Urban,Graduate and above other than technical degree,1542,1272,270,880,818,62,119,104,15,72,65,7,543,350,193,195,150,45
B0103,10,240,District - Arwal,Urban,Technical degree or diploma equal to degree or post-graduate degree,142,116,26,78,63,15,2,2,0,2,2,0,62,51,11,27,24,3
B0103,11,241,District - North  District,Total,Total,43709,24730,18979,17216,12677,4539,6143,3258,2885,1600,920,680,20350,8795,11555,1442,581,861
B0103,11,241,District - North  District,Total,Illiterate,13259,6151,7108,3829,2165,1664,1721,743,978,421,201,220,7709,3243,4466,143,32,111
B0103,11,241,District - North  District,Total,Literate,30450,18579,11871,13387,10512,2875,4422,2515,1907,1179,719,460,12641,5552,7089,1299,549,750
B0103,11,241,District - North  District,Total,Literate but below matric/secondary,20446,11699,8747,7147,5468,1679,3200,1758,1442,759,476,283,10099,4473,5626,684,311,373
B0103,11,241,District - North  District,Total,Matric/secondary but below graduate,6492,4471,2021,4045,3371,674,763,467,296,247,134,113,1684,633,1051,397,139,258
B0103,11,241,District - North  District,Total,Technical diploma or certificate not equal to degree,148,91,57,98,78,20,28,5,23,12,1,11,22,8,14,3,1,2
B0103,11,241,District - North  District,Total,Graduate and above other than technical degree,1287,815,472,859,619,240,153,94,59,91,54,37,275,102,173,158,64,94
B0103,11,241,District - North  District,Total,Technical degree or diploma equal to degree or post-graduate degree,172,130,42,143,112,31,6,5,1,2,1,1,23,13,10,6,5,1
B0103,11,241,District - North  District,Rural,Total,39065,22274,16791,15598,11474,4124,6014,3203,2811,1568,896,672,17453,7597,9856,1178,473,705
B0103,11,241,District - North  District,Rural,Illiterate,12017,5580,6437,3561,1984,1577,1691,736,955,418,198,220,6765,2860,3905,115,28,87
B0103,11,241,District - North  District,Rural,Literate,27048,16694,10354,12037,9490,2547,4323,2467,1856,1150,698,452,10688,4737,5951,1063,445,618
B0103,11,241,District - North  District,Rural,Literate but below matric/secondary,18288,10502,7786,6501,4926,1575,3140,1732,1408,745,465,280,8647,3844,4803,544,245,299
B0103,11,241,District - North  District,Rural,Matric/secondary but below graduate,5660,4038,1622,3624,3090,534,740,458,282,236,128,108,1296,490,806,329,115,214
B0103,11,241,District - North  District,Rural,Technical diploma or certificate not equal to degree,126,79,47,82,70,12,28,5,23,12,1,11,16,4,12,2,0,2
B0103,11,241,District - North  District,Rural,Graduate and above other than technical degree,1064,680,384,692,503,189,149,91,58,90,53,37,223,86,137,139,56,83
B0103,11,241,District - North  District,Rural,Technical degree or diploma equal to degree or post-graduate degree,126,93,33,105,82,23,6,5,1,2,1,1,15,6,9,3,2,1
B0103,11,241,District - North  District,Urban,Total,4644,2456,2188,1618,1203,415,129,55,74,32,24,8,2897,1198,1699,264,108,156
B0103,11,241,District - North  District,Urban,Illiterate,1242,571,671,268,181,87,30,7,23,3,3,0,944,383,561,28,4,24
B0103,11,241,District - North  District,Urban,Literate,3402,1885,1517,1350,1022,328,99,48,51,29,21,8,1953,815,1138,236,104,132
B0103,11,241,District - North  District,Urban,Literate but below matric/secondary,2158,1197,961,646,542,104,60,26,34,14,11,3,1452,629,823,140,66,74
B0103,11,241,District - North  District,Urban,Matric/secondary but below graduate,832,433,399,421,281,140,23,9,14,11,6,5,388,143,245,68,24,44
B0103,11,241,District - North  District,Urban,Technical diploma or certificate not equal to degree,22,12,10,16,8,8,0,0,0,0,0,0,6,4,2,1,1,0
