CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWorkersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWorkersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Dhaulpur,106,District - Dhaulpur ,0,1206516,653647,552869,522488,338593,183895,317285,261514,55771,60.72579657,77.23550103,30.32763262,82.42242779,17.57757221,65.06421671,8.723387491,6.392360181,6.486282049,13.33375357,34.93578329,983258,538103,445155,469290,328484,140806,270452,226922,43530,57.63003686,69.0815991,30.91487579,83.90472246,16.09527754,69.21930694,10.87734607,6.367858252,3.743732714,9.791756023,30.78069306,3.095759709,8.153901925,-0.58724317,1.482294679,-4.155090224,-2.153958582,0.024501929,2.742549335,3.541997542
Karauli,107,District - Karauli ,0,1458248,783639,674609,629351,371319,258032,438488,308872,129616,69.67304414,83.18238496,50.2325293,70.4402401,29.5597599,68.54600354,6.572585795,4.699786539,7.330189196,12.85143493,31.45399646,1209665,651998,557667,516346,317931,198415,356015,261367,94648,68.94892185,82.20871824,47.70203866,73.41460332,26.58539668,69.69959131,9.916997879,4.929567574,5.234049127,10.21979411,30.30040869,0.724122289,0.973666714,2.530490642,2.974363219,-1.15358777,-3.344412084,-0.229781035,2.096140068,2.631640821
Sawai Madhopur,108,District - Sawai Madhopur ,0,1335551,704031,631520,577506,343114,234392,418397,288572,129825,72.44894425,84.10382555,55.38798253,68.97085782,31.02914218,68.73017732,4.570300456,5.22135675,6.304538512,15.17362696,31.26982268,1117057,591307,525750,561783,331761,230022,366709,250475,116234,65.27591615,75.49862702,50.53168827,68.30347769,31.69652231,72.84440796,6.583967124,5.555358609,3.989266694,11.02699961,27.15559204,7.173028108,8.605198527,4.856294252,-0.667380132,-4.114230644,-2.013666668,-0.334001859,2.315271819,4.146627352
Dausa,109,District - Dausa ,0,1634409,857787,776622,684439,398152,286287,505892,337871,168021,73.91338016,84.85980229,58.68970648,66.78717987,33.21282013,67.4187376,5.574312304,5.252109146,7.278233299,14.47660766,32.5812624,1317063,693438,623625,704521,395615,308906,421117,289320,131797,59.77351988,73.13170633,42.66573003,68.70299703,31.29700297,71.85698986,6.749193217,5.254121776,5.934217806,10.20547734,28.14301014,14.13986027,11.72809596,16.02397646,1.915817157,-4.438252267,-1.174880913,-0.00201263,1.344015492,4.271130318
Jaipur,110,District - Jaipur ,0,6626178,3468507,3157671,2463061,1713289,749772,2059786,1563822,495964,83.62708029,91.2760194,66.14864252,75.92157632,24.07842368,34.71336343,15.1188036,11.49590297,8.688960892,29.9829691,65.28663657,5251071,2768203,2482868,1758954,1275751,483203,1591153,1217321,373832,90.46018259,95.41995264,77.36541371,76.5055906,23.4944094,40.36827382,18.73132251,10.78218122,6.650146152,23.46807629,59.63172618,-6.833102298,-4.143933241,-11.21677119,0.584014281,-5.654910397,-3.612518903,0.713721749,2.03881474,6.51489281
Sikar,111,District - Sikar ,0,2677333,1374990,1302343,1007136,657547,349589,699407,546219,153188,69.44513948,83.06919505,43.81945656,78.09744541,21.90255459,52.29901903,8.281301159,7.830061752,12.73049884,18.85911923,47.70098097,2287788,1172753,1115035,826416,535323,291093,631150,460312,170838,76.37194827,85.98771209,58.68846039,72.9322665,27.0677335,61.71765824,9.506931791,7.733502337,7.493781193,13.54812644,38.28234176,-6.926808784,-2.918517038,-14.86900383,-5.16517891,-9.418639217,-1.225630632,0.096559415,5.236717644,5.310992789
Nagaur,112,District - Nagaur ,0,3307743,1696325,1611418,1427595,858498,569097,987970,697616,290354,69.20520176,81.26006118,51.02012486,70.61105094,29.38894906,65.19610919,9.493810541,6.397562679,6.022247639,12.89026995,34.80389081,2775058,1424967,1350091,856085,601131,254954,844652,593762,250890,98.66450177,98.77414407,98.40598696,70.29664288,29.70335712,69.04310888,10.91514612,6.19012327,3.951449828,9.900171905,30.95689112,-29.45930002,-17.5140829,-47.3858621,-0.314408065,-3.846999684,-1.421335579,0.207439409,2.070797811,2.990098042
Jodhpur,113,District - Jodhpur ,0,3687165,1923928,1763237,1488049,963505,524544,1054795,801732,253063,70.88442652,83.20994702,48.24437988,76.00832389,23.99167611,48.89149076,12.48650212,8.02061064,6.628207377,23.9731891,51.10850924,2886505,1513890,1372615,932895,667491,265404,834495,639796,194699,89.45218915,95.85088039,73.35948215,76.66864391,23.33135609,53.50241763,13.69750568,8.340373519,5.391763881,19.06793929,46.49758237,-18.56776263,-12.64093337,-25.11510227,0.660320018,-4.610926866,-1.211003561,-0.319762879,1.236443496,4.90524981
Jaisalmer,114,District - Jaisalmer ,0,669919,361708,308211,289460,182908,106552,175985,138083,37902,60.79769225,75.49314409,35.57136422,78.46293718,21.53706282,58.63283803,7.215387675,4.299230048,6.864221383,22.98832287,41.36716197,508247,279101,229146,529835,216553,313282,153248,122970,30278,28.92372154,56.78517499,9.664774867,80.24248277,19.75751723,62.77341303,6.804003967,5.474133431,5.042806431,19.90564314,37.22658697,31.87397072,18.7079691,25.90658935,1.779545591,-4.140575004,0.411383708,-1.174903383,1.821414951,3.082679728
Barmer,115,District - Barmer ,0,2603751,1369022,1234729,1202458,696234,506224,741010,525823,215187,61.6246056,75.52388996,42.50825721,70.96031093,29.03968907,70.72617104,7.216096949,5.587508941,4.120052361,12.35017071,29.27382896,1964835,1038247,926588,812008,500920,311088,676458,470510,205948,83.30681471,93.92917033,66.20248933,69.5549465,30.4450535,78.65617673,6.602922872,4.348680923,2.64081436,7.751405113,21.34382327,-21.68220911,-18.40528037,-23.69423211,-1.405364426,-7.930005696,0.613174077,1.238828017,1.479238001,4.5987656
Jalor,116,District - Jalor ,0,1828730,936634,892096,896548,495354,401194,660841,428408,232433,73.70949464,86.48522067,57.93531309,64.82769683,35.17230317,75.0357499,5.074140376,6.307114722,3.962829183,9.620165819,24.9642501,1448940,737880,711060,673659,379449,294210,501474,333005,168469,74.44033257,87.76014695,57.2614799,66.40523736,33.59476264,79.04996072,6.119160714,5.298978611,3.057386824,6.474513135,20.95003928,-0.730837932,-1.274926279,0.673833195,1.577540532,-4.014210815,-1.045020339,1.008136111,0.905442359,3.145652684
Sirohi,117,District - Sirohi ,0,1036346,534231,502115,419893,272029,147864,313192,239568,73624,74.58852612,88.06708108,49.79170048,76.49237528,23.50762472,54.05438198,10.74867813,9.503435592,6.922909908,18.7705944,45.94561802,851107,437949,413158,375037,238456,136581,242762,192877,49885,64.73014663,80.88578186,36.5241139,79.4510673,20.5489327,52.0246167,13.44320775,9.655547409,7.098722205,17.77790593,47.9753833,9.858379499,7.18129922,13.26758659,2.958692016,2.029765274,-2.694529624,-0.152111816,-0.175812297,0.992688463
Pali,118,District - Pali ,0,2037573,1025422,1012151,843249,523849,319400,606755,444866,161889,71.95442864,84.92256356,50.68534753,73.31888489,26.68111511,55.57383128,11.96199454,9.314138326,6.880866247,16.2691696,44.42616872,1820251,918856,901395,683513,441684,241829,519334,388566,130768,75.98012035,87.97375499,54.07457336,74.820058,25.179942,58.2942769,13.5929864,9.545302253,5.536899182,13.03053526,41.7057231,-4.025691704,-3.051191429,-3.389225829,1.50117311,-2.720445618,-1.630991857,-0.231163926,1.343967065,3.238634336
Ajmer,119,District - Ajmer ,0,2583052,1324085,1258967,1053382,685113,368269,826033,600409,225624,78.41723136,87.63649208,61.26608539,72.68583701,27.31416299,41.84130658,13.81784989,9.730361862,9.001093177,25.60938849,58.15869342,2181670,1129920,1051750,913461,585585,327876,687313,506109,181204,75.24273067,86.42793104,55.2660152,73.63588351,26.36411649,48.76279075,13.87752014,9.814014867,6.25115486,21.29451938,51.23720925,3.174500686,1.208561039,6.000070188,0.950046499,-6.92148417,-0.059670248,-0.083653005,2.749938317,4.314869105
Tonk,120,District - Tonk ,0,1421326,728136,693190,649215,371856,277359,495716,318218,177498,76.35621481,85.57559916,63.99576001,64.19361086,35.80638914,68.02443334,7.383663227,5.301826046,4.999636889,14.29044049,31.97556666,1211671,626436,585235,482514,293408,189106,422769,276170,146599,87.61797585,94.12490457,77.52213045,65.32408951,34.67591049,71.57596702,8.901078367,5.304788194,3.958426469,10.25973995,28.42403298,-11.26176104,-8.549305413,-13.52637044,1.130478657,-3.551533673,-1.51741514,-0.002962148,1.04121042,4.030700542
Bundi,121,District - Bundi ,0,1110906,577160,533746,525757,314994,210763,360730,259151,101579,68.61154488,82.27172581,48.19584083,71.84071189,28.15928811,67.24918914,8.952956505,6.022232695,3.898760846,13.87686081,32.75081086,962620,504818,457802,395310,262190,133120,305340,231397,73943,77.24064658,88.2554636,55.5461238,75.78338901,24.21661099,71.53861269,8.37656383,6.049977075,3.595336346,10.43951005,28.46138731,-8.629101704,-5.983737784,-7.350282972,3.942677119,-4.28942355,0.576392674,-0.02774438,0.3034245,3.437350756
Bhilwara,122,District - Bhilwara ,0,2408523,1220736,1187787,1147108,673582,473526,882719,580379,302340,76.95169069,86.16308037,63.84865879,65.74900959,34.25099041,62.95582173,12.42615147,5.863700679,4.202696441,14.55162968,37.04417827,2013789,1026650,987139,960133,581533,378600,763023,507989,255034,79.47055252,87.3534262,67.36238774,66.57584372,33.42415628,67.15407006,13.41388136,6.018822499,3.490458348,9.922767728,32.84592994,-2.518861831,-1.190345835,-3.513728959,0.826834122,-4.198248333,-0.987729893,-0.15512182,0.712238093,4.628861953
Rajsamand,123,District - Rajsamand ,0,1156597,581339,575258,550623,319519,231104,362314,257889,104425,65.80073844,80.71163217,45.18528455,71.17831494,28.82168506,53.57121171,13.44193158,8.64443549,7.310233665,17.03218755,46.42878829,987024,493459,493565,571842,317450,254392,270205,211174,59031,47.2516884,66.52197196,23.20473914,78.15325401,21.84674599,52.10266279,16.81464074,8.818859755,7.842563979,14.42127274,47.89733721,18.54905003,14.18966021,21.9805454,6.974939069,1.468548918,-3.372709152,-0.174424265,-0.532330314,2.610914813
Dungarpur,124,District - Dungarpur ,0,1388552,696532,692020,641705,346747,294958,216373,170979,45394,33.71845318,49.30943887,15.38998773,79.02048777,20.97951223,61.4332657,5.830209869,6.013227159,5.053772883,21.66952439,38.5667343,1107643,547791,559852,357112,229040,128072,271565,201781,69784,76.04477027,88.0985854,54.48810044,74.30302138,25.69697862,70.44243551,7.171763666,4.644191998,4.147809917,13.59379891,29.55756449,-42.32631708,-38.78914653,-39.09811272,-4.717466393,-9.009169809,-1.341553797,1.36903516,0.905962966,8.07572548
Banswara,125,District - Banswara ,YM,1797485,907754,889731,916841,482365,434476,543334,361390,181944,59.26152953,74.92044406,41.87665141,66.51341532,33.48658468,79.48352211,4.86109833,3.27128433,2.250365337,10.1337299,20.51647789,1501589,760686,740903,626740,361417,265323,526969,333185,193784,84.08095861,92.18852461,73.03701526,63.22667937,36.77332063,84.81087123,4.280137921,2.884230382,1.194757187,6.830003283,15.18912877,-1.3176131,-2.284330593,-0.324557627,0.776176744,-3.085045267,-0.852979193,-0.036300844,0.782514858,3.191810446
Chittaurgarh,126,District - Chittaurgarh ,YM,1544338,783171,761167,802806,455807,346999,656948,408352,248596,81.8314761,89.58879526,71.64170502,62.15895322,37.84104678,72.03066301,7.668491266,4.796726682,3.131450282,12.37266877,27.96933699,1803524,918063,885461,1023764,541904,481860,743292,467450,275842,72.60384229,86.2606661,57.24525796,62.8891472,37.1108528,78.04106596,6.64449503,4.296023635,2.29358045,8.724834924,21.95893404,-1.3176131,-2.284330593,-0.324557627,0.776176744,-3.085045267,-0.852979193,-0.036300844,0.782514858,3.191810446
Kota,127,District - Kota ,0,1951014,1021161,929853,748897,534659,214238,577645,467166,110479,77.13276993,87.37643994,51.56834922,80.87423937,19.12576063,31.72692571,16.51637251,12.37265102,9.244259017,30.13979174,68.27307429,1568525,827128,741397,511861,376725,135136,417574,350313,67261,81.57956945,92.98905037,49.77282145,83.89243583,16.10756417,36.40073376,18.76002816,12.43971128,7.409944106,24.98958268,63.59926624,-4.446799526,-5.612610432,1.795527765,3.018196463,-4.673808055,-2.24365565,-0.067060262,1.834314912,5.150209056
Baran,128,District - Baran ,0,1222755,633945,588810,552696,329884,222812,360139,262836,97303,65.16041368,79.6752798,43.67044863,72.98182091,27.01817909,71.31885189,5.46927714,5.922157834,4.108136025,13.18157711,28.68114811,1021653,535137,486516,319735,234137,85598,301797,229458,72339,94.38972899,98.00159736,84.51015211,76.03057684,23.96942316,74.84169823,7.006033857,5.808871526,2.497042714,9.846353675,25.15830177,-29.22931531,-18.32631756,-40.83970348,3.048755937,-3.52284634,-1.536756717,0.113286307,1.611093311,3.335223438
Jhalawar,129,District - Jhalawar ,0,1411129,725143,685986,685486,402410,283076,475344,338050,137294,69.3440858,84.00636167,48.50075598,71.11691743,28.88308257,75.98497088,5.566915749,4.268908412,3.283096032,10.89610892,24.01502912,1180323,612804,567519,400306,291507,108799,397848,291105,106743,99.38596973,99.86209594,98.11027675,73.16990408,26.83009592,79.02264181,6.48916169,4.414248658,2.154591703,7.919356136,20.97735819,-30.04188393,-15.85573427,-49.60952077,2.052986652,-3.037670929,-0.92224594,-0.145340246,1.128504328,2.976752787
Udaipur,130,District - Udaipur ,YM,3068420,1566801,1501619,1364382,834176,530206,820522,621969,198553,60.13872948,74.56088403,37.44827482,75.80162384,24.19837616,53.40088383,8.762958214,8.32981931,7.310224467,22.19611418,46.59911617,2633312,1336004,1297308,835079,597927,237152,724138,570141,153997,86.71490961,95.35294442,64.93599042,78.73374964,21.26625036,57.13220408,10.89764658,8.466756336,6.337604158,17.16578884,42.86779592,-1.3176131,-2.284330593,-0.324557627,0.776176744,-3.085045267,-0.852979193,-0.036300844,0.782514858,3.191810446
Pratapgarh,131,District - Pratapgarh ,YM,867848,437744,430104,481391,251645,229746,327620,204163,123457,68.05694332,81.13135568,53.73630009,62.31701361,37.68298639,85.70172761,2.720224651,2.80965753,2.174165191,6.594225017,14.29827239,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-1.3176131,-2.284330593,-0.324557627,0.776176744,-3.085045267,-0.852979193,-0.036300844,0.782514858,3.191810446
Saharanpur,132,District - Saharanpur ,0,3466382,1834106,1632276,1038532,912277,126255,883594,802522,81072,85.08105672,87.96911464,64.21290246,90.8247453,9.175254698,49.49886486,13.07749939,10.95220203,6.395584397,20.07584932,50.50113514,2896863,1553322,1343541,689436,645438,43998,686625,644145,42480,99.59227543,99.79967092,96.54984317,93.81321682,6.186783179,54.4649554,14.32936465,11.00513381,4.156562898,16.04398325,45.5350446,-14.5112187,-11.83055628,-32.33694072,2.98847152,-4.966090535,-1.251865251,-0.052931777,2.239021499,4.031866064
Muzaffarnagar,133,District - Muzaffarnagar ,0,4143512,2193434,1950078,1292161,1082576,209585,1086578,963707,122871,84.08998569,89.01980092,58.62585586,88.69193008,11.30806992,53.36690049,11.19072906,11.71402329,5.553397915,18.17494924,46.63309951,3543362,1893832,1649530,947899,844243,103656,900762,811365,89397,95.02721281,96.10562362,86.2439222,90.07540283,9.924597174,58.95019994,12.23297608,11.03210393,3.847520211,13.93719984,41.04980006,-10.93722712,-7.085822699,-27.61806635,1.383472748,-5.583299452,-1.042247021,0.681919362,1.705877705,4.237749407
Bijnor,134,District - Bijnor ,0,3682713,1921215,1761498,1086792,921251,165541,838993,749468,89525,77.19904085,81.35329025,54.08025806,89.32946997,10.67053003,52.56384737,12.64170261,8.250128428,6.900415141,19.64390644,47.43615263,3131619,1651908,1479711,717992,668178,49814,707312,660656,46656,98.51251825,98.87425207,93.66041675,93.40375959,6.596240414,58.7175108,13.96201393,8.860022168,4.64165743,13.81879567,41.2824892,-21.3134774,-17.52096182,-39.58015869,4.074289614,-6.153663427,-1.320311322,-0.609893741,2.258757711,5.825110779
Moradabad,135,District - Moradabad ,0,4772006,2503186,2268820,1417095,1192748,224347,1104758,988492,116266,77.95934641,82.87517564,51.82418307,89.47588522,10.52411478,51.39369889,16.98245227,7.685212508,4.997746113,18.94089022,48.60630111,3810983,2032302,1778681,1027699,901593,126106,997025,879502,117523,97.01527393,97.54978133,93.19382107,88.21263258,11.78736742,58.53313608,16.93638575,8.14432938,3.318472456,13.06767634,41.46686392,-19.05592752,-14.67460569,-41.369638,-1.263252635,-7.139437188,0.046066518,-0.459116872,1.679273657,5.873213885
Rampur,136,District - Rampur ,0,2335819,1223889,1111930,737043,608748,128295,563602,501260,62342,76.4679944,82.34277566,48.59269652,88.9386482,11.0613518,60.89368029,13.98682049,6.733475041,2.934695051,15.45132913,39.10631971,1923739,1023775,899964,475274,440275,34999,456271,426081,30190,96.00167482,96.77610584,86.25960742,93.38331825,6.616681753,67.7297045,11.67946242,6.87266997,2.271237927,11.44692518,32.2702955,-19.53368042,-14.43333018,-37.6669109,4.444670052,-6.836024204,2.307358062,-0.139194929,0.663457124,4.004403947
Jyotiba Phule Nagar,137,District - Jyotiba Phule Nagar ,0,1840221,963449,876772,600459,459592,140867,455247,387380,67867,75.81650038,84.28780309,48.17806867,85.09226859,14.90773141,59.7014368,11.40919105,7.058585779,4.076907701,17.75387866,40.2985632,1499068,795228,703840,387494,346204,41290,384280,343738,40542,99.1705678,99.2877032,98.18842335,89.4498803,10.5501197,64.14333299,14.61226189,7.227021963,3.39075674,10.62662642,35.85666701,-23.35406743,-14.99990011,-50.01035467,4.357611703,-4.441896184,-3.203070838,-0.168436184,0.686150961,7.127252245
Meerut,138,District - Meerut ,0,3443689,1825743,1617946,1088664,896537,192127,889823,773706,116117,81.73531962,86.29939422,60.43762719,86.95055084,13.04944916,34.97302272,14.56435718,11.68063761,8.066997594,30.71498489,65.02697728,2997361,1601578,1395783,744646,670869,73777,733323,662580,70743,98.47941169,98.76443836,95.88760725,90.35309134,9.646908661,38.72454566,18.45830555,13.70992046,6.393499181,22.71372915,61.27545434,-16.74409207,-12.46504414,-35.44998005,3.402540499,-3.751522939,-3.893948368,-2.029282848,1.673498413,8.001255742
Baghpat,139,District - Baghpat ,0,1303048,700070,602978,415016,340846,74170,333245,291439,41806,80.29690422,85.50459738,56.36510719,87.45487554,12.54512446,50.32003481,12.29905925,10.5165869,4.885894762,21.97842428,49.67996519,1163991,630077,533914,320017,282306,37711,285184,256948,28236,89.11526575,91.01754833,74.87470499,90.09902379,9.900976212,60.61875842,11.82885435,8.567451189,3.140077985,15.84485806,39.38124158,-8.818361536,-5.51295095,-18.50959781,2.644148246,-10.29872361,0.470204897,1.949135706,1.745816777,6.133566226
Ghaziabad,140,District - Ghaziabad ,0,4681645,2488834,2192811,1520596,1231495,289101,1253761,1071362,182399,82.45194647,86.99686154,63.09179145,85.45185247,14.54814753,19.92413227,17.31629872,13.25635428,7.746452474,41.75676225,80.07586773,3290586,1769042,1521544,835700,751380,84320,803161,728236,74925,96.10637789,96.9198009,88.8579222,90.67123528,9.328764718,26.17158951,22.42626323,15.20454803,7.135182112,29.06241712,73.82841049,-13.65443141,-9.922939361,-25.76613075,5.219382815,-6.247457236,-5.109964507,-1.948193748,0.611270362,12.69434513
Gautam Buddha Nagar,141,District - Gautam Buddha Nagar ,0,1648115,890214,757901,568474,443143,125331,458628,378179,80449,80.67704064,85.34017236,64.18922693,82.45876833,17.54123167,21.67551916,12.65840725,8.660613831,6.955964311,50.04949545,78.32448084,1202030,652819,549211,345631,303633,41998,305060,272111,32949,88.26175893,89.61838799,78.45373589,89.19917393,10.80082607,36.34629253,15.32092047,10.46187635,4.798728119,33.07218252,63.65370747,-7.584718289,-4.278215628,-14.26450897,6.740405607,-14.67077338,-2.662513225,-1.801262521,2.157236192,16.97731293
Bulandshahr,142,District - Bulandshahr ,0,3499171,1845260,1653911,1173383,897314,276069,884932,747833,137099,75.41714854,83.34128298,49.66113544,84.50739718,15.49260282,50.91679361,12.04940041,11.99165586,4.915179923,20.12697021,49.08320639,2913122,1550326,1362796,855376,679989,175387,789938,648582,141356,92.34979705,95.38124881,80.59662347,82.10543106,17.89456894,59.9059673,12.14905474,9.865837572,3.495464201,14.58367619,40.0940327,-16.93264851,-12.03996583,-30.93548803,-2.401966119,-8.989173697,-0.09965433,2.125818284,1.419715722,5.543294021
Aligarh,143,District - Aligarh ,0,3673889,1951996,1721893,1174868,930937,243931,866294,748500,117794,73.73543241,80.40286292,48.28988525,86.40253771,13.59746229,48.52232614,16.11866179,7.863612122,5.75716789,21.73823206,51.47767386,2992286,1607402,1384884,720339,628494,91845,688227,611676,76551,95.54209893,97.32407947,83.34803201,88.87707108,11.12292892,54.96340597,16.3079914,8.53134213,3.855995188,16.34126531,45.03659403,-21.80666652,-16.92121654,-35.05814676,2.474533376,-6.441079831,-0.18932961,-0.667730007,1.901172702,5.396966746
Mahamaya Nagar,144,District - Mahamaya Nagar ,0,1564708,836127,728581,484343,398281,86062,337462,299295,38167,69.67417718,75.14669291,44.34826056,88.68998584,11.31001416,57.9265221,11.53077976,7.926818427,4.005784355,18.61009536,42.0734779,1336031,718930,617101,396244,293400,102844,288549,266805,21744,72.82103956,90.93558282,21.14270157,92.4643648,7.535635195,60.96122322,13.43411344,8.350401492,2.559010775,14.69525107,39.03877678,-3.146862377,-15.78888991,23.20555899,3.774378969,-3.034701126,-1.903333682,-0.423583065,1.44677358,3.914844292
Mathura,145,District - Mathura ,0,2547184,1367125,1180059,840470,635125,205345,594145,505873,88272,70.69199377,79.64936036,42.98716794,85.14302064,14.85697936,49.09087849,9.102828434,9.131272669,5.528111825,27.14690858,50.90912151,2074516,1127512,947004,799691,499639,300052,539443,455045,84398,67.45643005,91.07475597,28.12779118,84.3546028,15.6453972,57.19492143,11.39638479,8.605357749,4.502607319,18.30072871,42.80507857,3.235563719,-11.42539561,14.85937675,-0.78841784,-8.104042939,-2.293556355,0.52591492,1.025504506,8.846179868
Agra,146,District - Agra ,0,4418797,2364953,2053844,1389631,1119719,269912,1051106,912813,138293,75.63921645,81.5216139,51.23632888,86.8430967,13.1569033,37.90787989,16.42888538,10.28916208,5.134401288,30.23967136,62.09212011,3620436,1961282,1659154,956323,784885,171438,817078,758382,58696,85.43954292,96.62332698,34.23745027,92.81635291,7.183647094,41.29691413,19.11494374,13.42674751,4.895860616,21.26553401,58.70308587,-9.800326462,-15.10171308,16.9988786,5.973256206,-3.389034235,-2.686058355,-3.137585425,0.238540672,8.974137343
Firozabad,147,District - Firozabad ,0,2498156,1332046,1166110,761296,621425,139871,573390,496548,76842,75.31761628,79.90473508,54.93776408,86.59865013,13.40134987,45.47062209,23.99623293,7.619770139,2.914944453,19.99843039,54.52937791,2052958,1108668,944290,622720,460296,162424,451274,420458,30816,72.46820401,91.34513444,18.97256563,93.17133272,6.828667284,46.55973976,29.8481632,8.097741062,1.937182288,13.55717369,53.44026024,2.849412267,-11.44039935,35.96519845,6.572682582,-1.089117669,-5.85193027,-0.477970923,0.977762165,6.441256697
Mainpuri,148,District - Mainpuri ,0,1868529,993377,875152,561315,466270,95045,425450,383764,41686,75.79523084,82.30510219,43.85922458,90.20190387,9.798096134,74.93736044,3.307086614,4.425901986,1.516041838,15.81360912,25.06263956,1596718,859934,736784,453646,372918,80728,364748,346174,18574,80.40366277,92.82845022,23.00812605,94.90771711,5.092282891,78.36780462,5.654040598,5.38700692,1.394387358,9.196760503,21.63219538,-4.608431926,-10.52334803,20.85109852,4.705813242,-3.430444179,-2.346953984,-0.961104934,0.12165448,6.616848617
Budaun,149,District - Budaun ,0,3681896,1967759,1714137,1107347,939209,168138,875996,794931,81065,79.10763293,84.63834993,48.21337235,90.74596231,9.25403769,78.66611263,4.377074781,4.537349486,1.975693953,10.44376915,21.33388737,3069426,1666669,1402757,983179,802697,180482,771537,731877,39660,78.47370621,91.17724372,21.97449053,94.8596114,5.140388601,79.95922425,5.188215212,5.336361056,1.580740781,7.935458701,20.04077575,0.633926716,-6.538893786,26.23888182,4.113649089,-1.293111619,-0.811140431,-0.79901157,0.394953172,2.508310448
Bareilly,150,District - Bareilly ,0,4448359,2357665,2090694,1401101,1152847,248254,1044899,911675,133224,74.57699338,79.08031161,53.66439211,87.25005958,12.74994042,52.3579791,15.10433066,7.020104335,4.196769257,21.32081665,47.6420209,3618589,1934119,1684470,1001182,841190,159992,864532,812743,51789,86.35113296,96.6182432,32.36974349,94.00959132,5.990408684,59.76111931,12.47484188,8.891631542,3.509875863,15.3625314,40.23888069,-11.77413958,-17.53793159,21.29464863,6.759531741,-7.403140214,2.629488778,-1.871527206,0.686893394,5.958285249
Pilibhit,151,District - Pilibhit ,0,2031007,1072002,959005,618596,534897,83699,462768,421425,41343,74.80940711,78.78619622,49.39485537,91.06614978,8.933850223,72.86156346,6.085338658,5.753855063,2.321897798,12.97734502,27.13843654,1645183,876368,768815,529361,384286,145075,362285,345624,16661,68.43817357,89.93926399,11.48440462,95.40113447,4.598865534,71.96626965,7.533571636,6.845991416,2.526739998,11.1274273,28.03373035,6.371233537,-11.15306776,37.91045076,4.334984689,0.895293812,-1.448232978,-1.092136352,-0.2048422,1.849917718
Shahjahanpur,152,District - Shahjahanpur ,0,3006538,1606403,1400135,892569,784184,108385,699643,641253,58390,78.38531251,81.7732828,53.87276837,91.65431513,8.345684871,71.57993434,5.799529188,5.503664012,2.315466602,14.80140586,28.42006566,2547855,1383408,1164447,728836,617021,111815,617539,591655,25884,84.72948647,95.88895678,23.14895139,95.80852383,4.191476166,73.49333402,8.137137897,6.202199375,2.356450362,9.810878341,26.50666598,-6.344173961,-14.11567398,30.72381698,4.154208705,-1.913399686,-2.337608709,-0.698535364,-0.04098376,4.990527519
Kheri,153,District - Kheri ,0,4021243,2123187,1898056,1264562,1058336,206226,958336,855669,102667,75.78402641,80.85041046,49.78373241,89.28695155,10.71304845,77.8308443,3.765485174,4.124649392,1.946394584,12.33262655,22.1691557,3207232,1713908,1493324,881251,786551,94700,837494,776443,61051,95.0346723,98.71489579,64.46779303,92.71027613,7.289723867,79.76200427,5.818190936,5.15203691,1.195710059,8.07205783,20.23799573,-19.2506459,-17.86448534,-14.68406062,3.423324584,-1.931159968,-2.052705762,-1.027387518,0.750684525,4.260568723
Sitapur,154,District - Sitapur ,0,4483992,2375264,2108728,1422207,1170750,251457,1024326,900195,124131,72.02369275,76.89045484,49.36470251,87.88169001,12.11830999,75.27623042,5.611006652,4.107579032,1.665778278,13.33940562,24.72376958,3619661,1941374,1678287,1142252,906203,236049,926058,865595,60463,81.07300316,95.51888484,25.61459697,93.47092731,6.529072693,78.30049522,7.692390757,4.803586816,1.313416654,7.890110555,21.69950478,-9.049310402,-18.62843,23.75010554,5.589237298,-3.024264799,-2.081384105,-0.696007784,0.352361623,5.449295064
