CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWorkersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWorkersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Osmanabad,525,District - Osmanabad ,0,1657576,861535,796041,774506,474347,300159,702436,442218,260218,90.69471379,93.22668848,86.69338584,62.95491689,37.04508311,78.54950487,3.629654517,2.680101817,1.987654391,13.15308441,21.45049513,1486586,769368,717218,637148,389014,248134,556418,360407,196011,87.32947447,92.64628008,78.9940113,64.77270685,35.22729315,79.492396,4.726482608,3.564586336,1.732510451,10.4840246,20.507604,3.365239321,0.580408397,7.699374538,1.817789961,-0.942891139,-1.096828092,-0.884484519,0.255143941,2.669059809
Solapur,526,District - Solapur ,0,4317756,2227852,2089904,1897311,1206712,690599,1762361,1148815,613546,92.88730208,95.20208633,88.84258448,65.18613383,34.81386617,63.84872339,10.96171556,5.7093297,3.403842913,16.07638844,36.15127661,3849543,1989623,1859920,1578003,1003234,574769,1492179,971973,520206,94.56122707,96.88397722,90.50696889,65.13782864,34.86217136,63.55805838,13.28332593,6.780955904,2.889934787,13.487725,36.44194162,-1.673924988,-1.681890887,-1.664384406,-0.04830519,0.290665006,-2.321610366,-1.071626204,0.513908126,2.588663438
Satara,527,District - Satara ,0,3003741,1510842,1492899,1354573,844933,509640,1184155,780864,403291,87.41906121,92.41726859,79.13252492,65.94271865,34.05728135,65.6781418,7.748816667,4.91016801,3.578585574,18.08428795,34.3218582,2808994,1408326,1400668,1131610,708884,422726,1040476,673177,367299,91.94651868,94.96292764,86.88819708,64.69894548,35.30105452,70.24794421,7.63708149,5.305168019,3.365382767,13.44442351,29.75205579,-4.527457467,-2.545659056,-7.755672163,-1.243773165,-4.569802413,0.111735177,-0.395000009,0.213202807,4.639864438
Ratnagiri,528,District - Ratnagiri ,0,1615069,761121,853948,713634,406750,306884,554423,343732,210691,77.69010445,84.5069453,68.65493151,61.99814943,38.00185057,62.40668226,8.033577251,5.622061134,3.914700508,20.02297884,37.59331774,1696777,794498,902279,707645,405425,302220,554975,334229,220746,78.42562302,82.43916877,73.04149295,60.22415424,39.77584576,65.09122033,7.501058606,5.850894184,5.409432857,16.14739403,34.90877967,-0.735518566,2.067776525,-4.386561447,-1.773995186,-2.684538063,0.532518644,-0.228833051,-1.494732349,3.875584818
Sindhudurg,529,District - Sindhudurg ,0,849651,417332,432319,346646,229269,117377,226701,165067,61634,65.39841798,71.99708639,52.50943541,72.8126475,27.1873525,56.07518273,7.313598087,6.653698043,5.5050485,24.45247264,43.92481727,868825,417890,450935,324174,223961,100213,231457,160296,71161,71.39900177,71.57317569,71.00974923,69.25519643,30.74480357,60.50195069,8.390327361,6.159243402,5.096843042,19.85163551,39.49804931,-6.000583788,0.423910705,-18.50031383,-3.557451066,-4.426767957,-1.076729274,0.494454641,0.408205458,4.600837131
Kolhapur,530,District - Kolhapur ,0,3876001,1980658,1895343,1703437,1124349,579088,1507993,1049281,458712,88.52649085,93.32342538,79.21283121,69.58129116,30.41870884,54.12777115,15.65710186,6.6711185,3.746900682,19.79710781,45.87222885,3523162,1807470,1715692,1506736,989510,517226,1407558,951169,456389,93.41769228,96.12525391,88.23783027,67.57582991,32.42417009,60.33193659,15.12619729,6.652088227,3.308424946,14.58135295,39.66806341,-4.89120143,-2.801828536,-9.024999061,-2.005461247,-6.204165438,0.53090457,0.019030273,0.438475736,5.215754858
Sangli,531,District - Sangli ,0,2822143,1435728,1386415,1214775,800247,414528,1074586,748997,325589,88.4596736,93.59572732,78.54451328,69.70098252,30.29901748,64.03489344,8.682785743,5.772455625,3.058294078,18.45157112,35.96510656,2583524,1320088,1263436,1025983,687096,338887,950879,663194,287685,92.67980074,96.52130124,84.8911289,69.74536192,30.25463808,67.87256843,9.268476851,6.328775796,2.712332484,13.81784643,32.12743157,-4.220127135,-2.925573925,-6.346615624,0.044379405,-3.837674996,-0.585691109,-0.556320171,0.345961594,4.633724682
Adilabad,532,District - Adilabad ,0,2741239,1369597,1371642,1323694,749621,574073,1066646,639948,426698,80.58101041,85.36954007,74.32817778,59.99628743,40.00371257,64.19749383,12.61636944,4.096298116,3.825074111,15.2647645,35.80250617,2488003,1250958,1237045,942253,589369,352884,907535,578916,328619,96.31542696,98.22640824,93.12380272,63.78993648,36.21006352,60.75137598,19.2893938,5.171811555,2.995036004,11.79238266,39.24862402,-15.73441655,-12.85686817,-18.79562495,3.793649048,3.446117846,-6.673024355,-1.07551344,0.830038107,3.472381842
Nizamabad,533,District - Nizamabad ,0,2551335,1250641,1300694,1259627,683578,576049,1055316,590128,465188,83.78003965,86.32928503,80.75493578,55.91955395,44.08044605,57.34149771,19.94568452,4.723703611,3.203969238,14.78514492,42.65850229,2345685,1162905,1182780,1007422,568406,439016,968965,551873,417092,96.1826325,97.09133964,95.00610456,56.95489517,43.04510483,57.08978136,23.54450367,6.072871569,2.238883757,11.05395964,42.91021864,-12.40259285,-10.76205461,-14.25116878,1.035341218,0.251716348,-3.598819156,-1.349167958,0.96508548,3.731185286
Karimnagar,534,District - Karimnagar ,0,3776269,1880800,1895469,1876528,1049343,827185,1589732,935269,654463,84.71666823,89.12900739,79.11930221,58.831866,41.168134,59.09625019,17.45180949,4.545986368,3.848384508,15.05756945,40.90374981,3491822,1747968,1743854,1577544,946484,631060,1455012,864324,590688,92.23273646,91.31945178,93.60251006,59.40322142,40.59677858,59.69552141,21.11611451,5.000371131,3.053376879,11.13461607,40.30447859,-7.516068226,-2.190444393,-14.48320785,0.571355417,-0.599271226,-3.664305019,-0.454384763,0.795007628,3.92295338
Medak,535,District - Medak ,0,3033288,1523030,1510258,1441458,836694,604764,1194445,726672,467773,82.86366998,86.85038975,77.34802336,60.83762752,39.16237248,64.0844074,12.92968701,4.192909678,3.675849453,15.11714646,35.9155926,2670097,1352446,1317651,1349644,786368,563276,1072414,665179,407235,79.45902771,84.5887676,72.29759478,62.02632565,37.97367435,67.73876507,14.1506918,5.242844648,2.244282525,10.62341596,32.26123493,3.404642265,2.261622148,5.050428576,1.188698137,-3.654357664,-1.221004794,-1.04993497,1.431566928,4.4937305
Hyderabad,536,District - Hyderabad ,0,3943323,2018575,1924748,1414094,1046737,367357,1096269,861211,235058,77.52447857,82.27577701,63.9862586,78.55836478,21.44163522,2.962685253,9.693332567,18.12447492,11.05394753,58.16555973,97.03731475,3829753,1981173,1848580,1209676,986752,222924,1033505,878460,155045,85.43651358,89.02540861,69.55060918,84.99813741,15.00186259,1.892492054,15.32087411,23.27555261,8.877944471,50.63313675,98.10750795,-7.912035008,-6.749631603,-5.564350578,6.439772625,1.0701932,-5.627541546,-5.151077686,2.176003055,7.532422977
Rangareddy,537,District - Rangareddy ,0,5296741,2701008,2595733,2197866,1489573,708293,1836176,1309605,526571,83.54358273,87.91814836,74.34366851,71.32241136,28.67758864,28.23738029,14.31001168,8.608651894,10.07795549,38.76600064,71.76261971,3575064,1839227,1735837,1441140,993762,447378,1248348,890942,357406,86.62225738,89.65345827,79.88904238,71.36968217,28.63031783,40.61535726,16.26805987,9.395537142,7.652593668,26.06845207,59.38464274,-3.07867465,-1.735309917,-5.545373866,0.047270813,-12.37797696,-1.958048191,-0.786885248,2.425361822,12.69754858
Mahbubnagar,538,District - Mahbubnagar ,0,4053028,2050386,2002642,2082430,1139807,942623,1815081,1029976,785105,87.16168131,90.36407041,83.28939565,56.74545654,43.25454346,73.17530182,5.561680167,3.58848999,4.345095343,13.32943268,26.82469818,3513934,1782340,1731594,1579425,946614,632811,1492603,892692,599911,94.5029362,94.30369718,94.80097533,59.80773186,40.19226814,73.38381338,8.659837881,4.711567644,3.522704966,9.722076131,26.61618662,-7.34125489,-3.939626769,-11.51157968,3.062275323,-0.20851156,-3.098157713,-1.123077654,0.822390377,3.60735655
Nalgonda,539,District - Nalgonda ,0,3488809,1759772,1729037,1741263,976059,765204,1492737,888179,604558,85.72725659,90.99644591,79.00612124,59.50003249,40.49996751,68.09860009,7.848000016,4.493624798,3.894055014,15.66572008,31.90139991,3247982,1651990,1595992,1407331,859156,548175,1309138,823499,485639,93.02275016,95.84976419,88.59196424,62.90391082,37.09608918,68.39798402,10.78396624,5.8699694,3.412398082,11.53568226,31.60201598,-7.295493561,-4.853318276,-9.585843002,3.403878327,-0.299383929,-2.935966227,-1.376344602,0.481656933,4.130037825
