stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
8,114,RAJASTHAN,Parbatsar,Nagaur,52042,292111,149793,142317,62270,32075,30194,839,438,400,149485,94117,55367,142626,55676,86949,126833,89560,65694,23865,37272,73626,3040,11251,32365,19130,16294,40985,8226,16202,36897,7207,2434
8,115,RAJASTHAN,Nawan,Nagaur,46959,273582,140894,132687,61723,32127,29596,4128,2183,1945,159402,97569,61833,114179,43325,70853,109202,80341,59822,20519,28860,62055,2517,15854,32650,13691,21228,35713,9756,20353,35387,6541,2642
8,116,RAJASTHAN,Jaitaran,Rajsamand,73296,356144,180199,175945,63428,32570,30857,1351,715,636,176334,112908,63426,179810,67291,112519,159546,106710,75157,31553,52835,106296,3928,16346,47759,24143,14499,62690,8776,20119,48493,16102,1632
8,117,RAJASTHAN,Sojat,Pali,61140,284567,141350,143217,65392,33372,32020,1583,815,767,156082,95418,60663,128485,45931,82553,122777,90184,62124,28059,32593,82079,3153,21361,48561,11559,17541,47059,12825,22959,37984,18026,2012
8,118,RAJASTHAN,Pali,Pali,60287,319935,165739,154195,56396,29183,27213,10325,5399,4926,194508,117905,76603,125426,47833,77592,120932,101843,80928,20915,19089,45690,2091,36960,49953,9119,31022,29170,27492,31424,39283,20303,2751
8,119,RAJASTHAN,Marwar Junction,Pali,65298,299841,148414,151426,66131,33575,32555,10933,5694,5239,158152,96157,61995,141688,52257,89431,127557,90846,62629,28217,36710,82837,2598,15737,51093,13054,14687,54919,8815,20798,41274,16201,1832
8,12,RAJASTHAN,Khajuwala,Bikaner,78235,441919,232741,209178,84111,44080,40030,1912,1044,868,256383,152797,103586,185535,79943,105592,174338,143860,111679,32180,30477,75794,1910,48233,51723,22531,49582,32888,34758,39540,51487,22305,4328
8,120,RAJASTHAN,Bali,Pali,77807,384731,191981,192750,69539,35114,34425,80282,40911,39371,194527,117766,76761,190204,74215,115988,155687,106376,78672,27703,49311,80341,4459,25573,56928,19796,21940,57731,18031,28128,49259,17595,2637
8,121,RAJASTHAN,Sumerpur,Pali,74848,366355,184618,181736,73244,37512,35731,37934,19702,18231,199034,121502,77532,167320,63116,104204,141768,101475,79630,21844,40292,70516,3352,36316,62409,11493,25255,52031,20349,29661,46652,18612,3150
8,122,RAJASTHAN,Phalodi,Jodhpur,55363,333783,175621,158162,63217,33182,30035,12168,6347,5821,155181,101247,53934,178602,74374,104228,135228,84569,65375,19194,50659,97336,2582,11750,23488,30316,11297,41588,7436,9055,37754,6643,1303
8,123,RAJASTHAN,Lohawat,Jodhpur,52544,316900,165729,151171,52465,27325,25140,14738,7692,7046,144660,96447,48213,172240,69282,102958,144771,91305,60595,30710,53466,117338,2816,3186,15185,35294,4324,43422,2016,4276,38041,4048,1561
8,124,RAJASTHAN,Shergarh,Jodhpur,44513,266609,139703,126906,53515,27820,25695,15835,8252,7583,125873,84687,41186,140736,55016,85720,111744,60749,47472,13277,50995,70602,2775,7923,21478,20384,6445,38445,4448,6910,31448,3471,1581
8,125,RAJASTHAN,Osian,Pali,52562,325070,169170,155900,58790,30414,28376,14140,7352,6788,153508,101982,51526,171562,67188,104374,142619,102039,70716,31323,40580,116762,2896,8744,25730,25259,8082,43009,3651,10693,38600,9271,2605
8,126,RAJASTHAN,Bhopalgarh,Pali,64071,353031,182375,170656,73873,38147,35726,4234,2203,2031,171805,114947,56858,181226,67428,113798,171838,109549,73549,36000,62289,135543,2547,9022,37476,24695,8970,56470,3866,15449,46425,15070,2081
8,127,RAJASTHAN,Sardarpura,Jodhpur,55946,300640,158047,142592,37828,19526,18301,7268,3797,3471,210606,119911,90695,90034,38136,51897,97700,87110,75792,11317,10590,2679,929,52251,53901,1600,52276,6530,46033,45536,34817,33577,7159
8,128,RAJASTHAN,Jodhpur,Jodhpur,27819,149470,78600,70870,18859,9731,9128,3572,1871,1700,104771,59578,45193,44699,19022,25677,48639,43528,37900,5627,5111,1187,473,26235,26808,787,26008,3171,22930,22622,17115,16625,3586
8,129,RAJASTHAN,Soorsagar,Jodhpur,76411,407995,214669,193326,51045,26403,24642,9725,5094,4630,286387,162943,123443,121607,51725,69882,132080,118593,103245,15347,13487,3181,1299,72077,73400,2359,71356,8704,63148,62253,47815,46056,9789
8,13,RAJASTHAN,Bikaner West,Bikaner,12906,72138,37885,34252,8385,4371,4014,358,198,160,49323,28323,20999,22815,9562,13253,23238,20927,18311,2616,2310,831,195,11913,12130,555,12011,1268,9612,9980,8587,5852,1016
8,130,RAJASTHAN,Luni,Jodhpur,108183,614343,319701,294641,91395,47243,44152,22848,11817,11030,367768,221906,145861,246574,97795,148779,228560,178426,142407,36019,50133,96289,3936,65688,86824,19045,57408,55821,45939,58500,72130,49495,9831
8,131,RAJASTHAN,Bilara,Pali,63323,335506,171777,163729,69101,35641,33460,3471,1855,1616,179069,114661,64408,156437,57116,99321,150301,100049,70437,29612,50252,99097,2907,19740,44559,17586,16105,49992,11763,21757,44283,19744,2304
8,132,RAJASTHAN,Jaisalmer,Barmer,64360,354864,193861,161003,55838,29904,25934,24311,12917,11394,169181,115104,54077,185683,78757,106926,148998,97434,79499,17935,51564,75595,1673,14300,27654,30143,16450,50757,9632,14216,41972,7496,3165
