Res_id,ua,city,name,votes,locality,locality2,newlocality,latitude,longitude,cuisines,newcuisine,average_cost_for_two,Column,aggregate_rating,rating_text,establishment,delivery,address,url,timings,zipcode,locality_verbose,currency,price_range,highlights,opentable_support,photo_count
59723,Bengaluru,Bangalore,Hoppipola,1935,Church Street,Church Street,Church Street,12.9753246,77.6034529,"Continental, Mediterranean, European",Continental,1300,8320.5,4.3,Very Good,Lounge,0,"14, 3rd Floor, Church Street, Bangalore",https://www.zomato.com/bangalore/hoppipola-church-street?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,12 Noon to 12 Midnight,560001,"Church Street, Bangalore",Rs.,3,"['Dinner', 'Cash', 'Debit Card', 'Serves Alcohol', 'Lunch', 'Credit Card', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Digital Payments Accepted', 'Wifi', 'Nightlife', 'Fullbar', 'Table booking recommended', 'Air Conditioned', 'Smoking Area']",0,1949
57329,Bengaluru,Bangalore,Smally's Resto Cafe,1928,"Skywalk, Ulsoor","Skywalk, Ulsoor",Ulsoor,12.99102151,77.61935972,"Cafe, American, Steak",Cafe,650,7904.8,4.1,Very Good,Cafe,1,"Skywalk, 5/1, Near Body Craft, Assaye Road, Ulsoor, Bangalore",https://www.zomato.com/bangalore/smallys-resto-cafe-ulsoor?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12noon to 1am (Mon, Tue, Wed, Thu, Sun), 12noon to 3am (Fri-Sat)",,"Skywalk, Ulsoor, Bangalore",Rs.,2,"['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Valet Parking Available', 'Table booking recommended', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']",0,1163
18396747,Bengaluru,Bangalore,Silbatti,1922,HSR,HSR,HSR,12.91618898,77.64465127,North Indian,North Indian,750,7495.8,3.9,Good,Casual Dining,1,"171, 19th Main Road, Sector 4, HSR, Bangalore",https://www.zomato.com/bangalore/silbatti-hsr?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11:30am to 3:30pm, 6:30pm to 11:15pm (Mon-Sun)",560102,"HSR, Bangalore",Rs.,2,"['Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Desserts and Bakes', 'Indoor Seating', 'Card Upon Delivery']",0,1099
18489117,Bengaluru,Bangalore,What's In A Name,1920,Koramangala 5th Block,Koramangala 5th Block,Koramangala 5th Block,12.93371493,77.61985593,"Finger Food, Asian, European, Italian",Finger Food,1200,7872,4.1,Very Good,Pub,1,"146, Next to William Penn Showroom, Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/whats-in-a-name-koramangala-5th-block?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,12 Noon to 12:30 AM,,"Koramangala 5th Block, Bangalore",Rs.,3,"['Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Cash', 'Delivery', 'Credit Card', 'Beer', 'Indoor Seating', 'Air Conditioned', 'Pet Friendly', 'Karaoke', 'Nightlife', 'Outdoor Seating', 'Live Music', 'Serves Cocktails', 'LGBTQIA Friendly', 'Live Entertainment', 'Fullbar', 'Wine']",0,1168
61681,Bengaluru,Bangalore,1522 - The Pub,1908,Koramangala 4th Block,Koramangala 4th Block,Koramangala 4th Block,12.93410542,77.62989074,"Chinese, North Indian, Mughlai, Finger Food",Chinese,1200,8013.6,4.2,Very Good,Pub,0,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",https://www.zomato.com/bangalore/1522-the-pub-koramangala-4th-block?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Mon-Sun (11:30 AM to 1 AM),,"Koramangala 4th Block, Bangalore",Rs.,3,"['Takeaway Available', 'Debit Card', 'Serves Alcohol', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Smoking Area', 'Wifi', 'DJ', 'Live Entertainment', 'Nightlife', 'Fullbar', 'Outdoor Seating', 'Live Music', 'Serves Cocktails', 'Air Conditioned', 'Wheelchair Accessible', 'Karaoke', 'Live Sports Screening', 'Valet Parking Available', 'Gastro Pub', 'Beer', 'Indoor Seating', 'Digital Payments Accepted']",0,807
53094,Bengaluru,Bangalore,Biriyani Zone,1907,Marathahalli,Marathahalli,Marathahalli,12.95236005,77.70023301,"Biryani, North Indian, Chinese, Seafood",Biryani,800,7437.3,3.9,Good,Casual Dining,1,"92/5, Outer Ring Road, Diagonally Opposite to Innovative Multiplex, Marathahalli, Bangalore",https://www.zomato.com/bangalore/biriyani-zone-marathahalli?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11:30 AM to 3:30 PM, 6:30 PM to 11 PM",0,"Marathahalli, Bangalore",Rs.,2,"['No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Sodexo', 'Table booking recommended', 'Air Conditioned', 'Halal', 'Indoor Seating', 'Ticket Restaurant', 'Card Upon Delivery']",0,268
59690,Bengaluru,Bangalore,Meghana Foods,1898,Indiranagar,Indiranagar,Indiranagar,12.97827976,77.63781331,"Biryani, South Indian, North Indian, Chinese, Andhra",Biryani,800,8161.4,4.3,Very Good,Casual Dining,1,"544, First Floor, Near Indiranagar Metro Station, CMH Road, Indiranagar, Bangalore",https://www.zomato.com/bangalore/meghana-foods-indiranagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"12 Noon to 4 PM, 7 PM to 11 PM",,"Indiranagar, Bangalore",Rs.,2,"['Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Indoor Seating', 'Air Conditioned', 'Table Reservation Not Required']",0,464
51571,Bengaluru,Bangalore,Hari Super Sandwich,1892,Jayanagar,Jayanagar,Jayanagar,12.93284833,77.58255512,"Fast Food, Street Food",Fast Food,250,8324.8,4.4,Very Good,Quick Bites,0,"177/A-44, 22nd Cross, 3rd Block, Jayanagar, Bangalore",https://www.zomato.com/bangalore/hari-super-sandwich-jayanagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,11 AM to 9:30 PM,0,"Jayanagar, Bangalore",Rs.,1,"['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",0,363
53221,Bengaluru,Bangalore,Imli,1887,Indiranagar,Indiranagar,Indiranagar,12.9798911,77.63965767,"North Indian, Street Food",North Indian,800,7359.3,3.9,Good,Casual Dining,0,"204, 5th Main, 7th Cross, 1st Stage, Off 100 Feet Road, Indiranagar, Bangalore",https://www.zomato.com/bangalore/imli-indiranagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,12Noon to 11PM (Mon-Sun),0,"Indiranagar, Bangalore",Rs.,2,"['Lunch', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Rooftop', 'Table booking recommended', 'Air Conditioned', 'Wifi', 'Serves Jain Food', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg']",0,730
18613656,Bengaluru,Bangalore,Sharief Bhai,1869,Koramangala 5th Block,Koramangala 5th Block,Koramangala 5th Block,12.93309602,77.61462729,"Biryani, Mughlai",Mughlai,700,8223.6,4.4,Very Good,Casual Dining,-1,"66, Ground Floor, JNC Road, Koramangala 5th Block, Bangalore",https://www.zomato.com/bangalore/sharief-bhai-1-koramangala-5th-block?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,12 Noon to 1 AM,,"Koramangala 5th Block, Bangalore",Rs.,2,"['No Alcohol Available', 'Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Valet Parking Available', 'Air Conditioned', 'Indoor Seating', 'Table booking recommended']",0,2207
