Row Labels,neighbourhood,lat,long,number,cost_for_two,rating,pricerange,votes,photos,neigh,city,ua,diversity
"Begumpet, Hyderabad",Begumpet,17.4447,78.4664,24,1293.75,4.083333333,2.583333333,25829,8890,Begumpet, Hyderabad,Hyderabad,10
"Dwarka, New Delhi",Dwarka,28.5823,77.05,18,747.2222222,4.083333333,2.166666667,15780,8926,Dwarka, New Delhi,Delhi,7
"SDA, New Delhi",SDA,28.5507,77.2005,12,962.5,4.083333333,2.25,14230,21736,SDA, New Delhi,Delhi,7
"Abids, Hyderabad",Abids,17.393,78.473,12,579.1666667,4.083333333,1.666666667,12558,2718,Abids, Hyderabad,Hyderabad,6
"Greater Kailash 2 (GK2), New Delhi",Greater Kailash 2,28.5354,77.242,25,1144,4.08,2.277777778,19041,14200,Greater Kailash 2 (GK2), New Delhi,Delhi,15
"Mulund West, Mumbai",Mulund West,19.1726,72.9425,14,1082.142857,4.078571429,2.428571429,16503,25169,Mulund West, Mumbai,Mumbai,4
"T. Nagar, Chennai",T. Nagar,13.0418,80.2341,57,966.6666667,4.073684211,2.263157895,58491,32199,T. Nagar, Chennai,Chennai,21
"Golpark, Kolkata",Golpark,22.5178,88.3664,11,554.5454545,4.072727273,1.727272727,15854,21106,Golpark, Kolkata,Kolkata,9
"Ghatkopar West, Mumbai",Ghatkopar West,19.0908,72.9077,11,1463.636364,4.072727273,3.090909091,14948,19461,Ghatkopar West, Mumbai,Mumbai,8
"Churchgate, Mumbai",Churchgate,18.9322,72.8264,14,1553.571429,4.071428571,2.785714286,28770,19558,Churchgate, Mumbai,Mumbai,12
"Sector 1 Salt Lake, Kolkata",Sector 1 Salt Lake,22.5911,88.404,21,1026.190476,4.071428571,2.333333333,18521,25166,Sector 1 Salt Lake, Kolkata,Kolkata,12
"Electronic City, Bangalore",Electronic City,12.844,77.6739,24,825,4.0625,2.083333333,22769,8197,Electronic City, Bangalore,Bangalore,13
"Borivali West, Mumbai",Borivali West,19.2462,72.8509,31,843.5483871,4.061290323,2.096774194,47337,57670,Borivali West, Mumbai,Mumbai,14
"Egmore, Chennai",Egmore,13.0732,80.2609,27,827.7777778,4.059259259,1.888888889,13751,7640,Egmore, Chennai,Chennai,16
"Park Street Area, Kolkata",Park Street Area,22.54872,88.35611,54,1070.37037,4.057407407,2.537037037,94795,88078,Park Street Area, Kolkata,Kolkata,18
"Besant Nagar, Chennai",Besant Nagar,13.0003,80.2667,30,593.3333333,4.056666667,1.666666667,17687,16207,Besant Nagar, Chennai,Chennai,12
"Kurla, Mumbai",Kurla,19.0726,72.8845,11,1327.272727,4.054545455,2.818181818,15903,16485,Kurla, Mumbai,Mumbai,8
"Ballygunge, Kolkata",Ballygunge,22.534,88.3647,50,958,4.048,2.224489796,59328,73897,Ballygunge, Kolkata,Kolkata,18
"Chakala, Mumbai",Chakala,19.1098,72.8583,14,2078.571429,4.042857143,3.071428571,13961,18250,Chakala, Mumbai,Mumbai,8
"Somajiguda, Hyderabad",Somajiguda,17.4237,78.4584,12,1212.5,4.041666667,2.333333333,9766,4414,Somajiguda, Hyderabad,Hyderabad,8
"Anna Nagar East, Chennai",Anna Nagar East,13.092,80.2236,57,613.1578947,4.038596491,1.719298246,35125,30286,Anna Nagar East, Chennai,Chennai,21
"Malviya Nagar, New Delhi",Malviya Nagar,28.5342,77.2094,16,568.75,4.0375,1.571428571,13033,6492,Malviya Nagar, New Delhi,Delhi,11
Grand Total,Grand Total,,,6000,991.0316667,4.036766667,2.244823386,7481179,5715461,Grand Total,,,85
"Dadar Shivaji Park, Mumbai",Dadar Shivaji Park,19.0272,72.8385,11,836.3636364,4.036363636,2.363636364,19674,19619,Dadar Shivaji Park, Mumbai,Mumbai,8
"Connaught Place, New Delhi",Connaught Place,28.6304,77.2177,113,1343.362832,4.034513274,2.802469136,250337,255300,Connaught Place, New Delhi,Delhi,28
"Colaba, Mumbai",Colaba,18.9067,72.8147,31,1793.548387,4.032258065,3.193548387,75315,55514,Colaba, Mumbai,Mumbai,13
"Khar, Mumbai",Khar,19.07,72.8338,25,1440,4.032,2.84,38329,36447,Khar, Mumbai,Mumbai,16
"Green Park, New Delhi",Green Park,28.5584,77.2029,10,1130,4.03,2.625,10270,7492,Green Park, New Delhi,Delhi,9
"Goregaon East, Mumbai",Goregaon East,19.1663,72.8526,22,1331.818182,4.027272727,2.636363636,32028,26223,Goregaon East, Mumbai,Mumbai,15
"Bhawanipur, Kolkata",Bhawanipur,22.5332,88.3459,15,536.6666667,4.026666667,1.733333333,14191,12959,Bhawanipur, Kolkata,Kolkata,10
"Malad West, Mumbai",Malad West,19.189,72.8355,45,1181.111111,4.024444444,2.590909091,75776,64756,Malad West, Mumbai,Mumbai,15
"Mylapore, Chennai",Mylapore,13.0368,80.2676,26,678.8461538,4.019230769,1.884615385,17637,13191,Mylapore, Chennai,Chennai,11
"Kilpauk, Chennai",Kilpauk,13.0823,80.2437,24,529.1666667,4.0125,1.625,11183,8240,Kilpauk, Chennai,Chennai,12
"Rohini, New Delhi",Rohini,28.7383,77.0822,18,894.4444444,4,1.944444444,14947,6426,Rohini, New Delhi,Delhi,9
"Hazra, Kolkata",Hazra,22.5228,88.35,12,683.3333333,4,1.833333333,11177,15550,Hazra, Kolkata,Kolkata,7
"Kamla Nagar, New Delhi",Kamla Nagar,28.6809,77.2046,10,650,4,1.7,9979,5003,Kamla Nagar, New Delhi,Delhi,5
"Salt Lake, Kolkata",Salt Lake,22.5867,88.4171,93,811.2903226,3.994623656,2.107526882,91248,110284,Salt Lake, Kolkata,Kolkata,23
"Hauz Khas Village, New Delhi",Hauz Khas Village,28.5534,77.1942,25,1434,3.992,3.153846154,44405,15832,Hauz Khas Village, New Delhi,Delhi,11
"Kasba, Kolkata",Kasba,22.5195,88.3828,30,778.3333333,3.986666667,1.933333333,27845,31524,Kasba, Kolkata,Kolkata,16
"Himayath Nagar, Hyderabad",Himayath Nagar,17.4021,78.484,26,482.6923077,3.984615385,1.461538462,23790,4443,Himayath Nagar, Hyderabad,Hyderabad,12
"Gariahat, Kolkata",Gariahat,22.517,88.3658,18,611.1111111,3.983333333,1.888888889,18357,18096,Gariahat, Kolkata,Kolkata,11
"Sainikpuri, Secunderabad",Sainikpuri,17.4928,78.5469,12,637.5,3.983333333,1.75,10828,6163,Sainikpuri, Secunderabad,Hyderabad,7
