stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
23,148,MADHYA PRADESH,Shamshabad,Sagar,52373,256242,135045,121197,51726,27266,24460,11110,5796,5314,141471,86038,55433,114771,49007,65764,103341,67067,54157,12910,36274,92470,1526,2390,25991,25918,6741,35572,1654,13201,21815,8479,744
23,149,MADHYA PRADESH,Berasia,Bhopal,90599,439066,230300,208766,89419,46895,42524,10824,5651,5173,264508,155233,109274,174558,75067,99491,180414,124656,94941,29715,55757,115811,3172,18532,70605,19155,32424,60037,21320,40298,40275,24520,4807
23,15,MADHYA PRADESH,Gwalior,Gwalior,50172,265501,141283,124217,46030,24537,21493,3567,1920,1646,198439,112167,86272,67061,29116,37945,82335,73857,63566,10291,8477,3402,953,32311,48868,1003,45908,7877,37429,42798,31258,24133,4616
23,150,MADHYA PRADESH,Bhopal Uttar,Bhopal,67429,316846,164952,151893,42658,22094,20564,8118,4204,3913,232702,126900,105802,84143,38052,46090,111201,95008,76526,18482,16193,3720,1753,44436,65475,1551,56911,8833,46729,52123,41267,32501,9710
23,151,MADHYA PRADESH,Narela,Bhopal,46535,218663,113838,104825,29439,15247,14191,5602,2901,2701,160594,87577,73016,58069,26260,31808,76743,65567,52812,12754,11175,2567,1210,30667,45186,1070,39276,6096,32249,35972,28479,22430,6701
23,152,MADHYA PRADESH,Bhopal Dakshin- Paschim,Bhopal,47098,221317,115203,106114,30176,15623,14552,6129,3165,2963,161794,88292,73501,59523,26910,32612,77636,66081,53170,12911,11554,3083,1316,30308,45751,1071,39426,6504,32287,36276,28800,22556,6721
23,153,MADHYA PRADESH,Bhopal Madhya,Bhopal,45463,213628,111216,102411,28761,14896,13865,5473,2834,2638,156896,85560,71335,56732,25656,31075,74976,64057,51596,12461,10918,2508,1182,29960,44145,1046,38371,5956,31506,35143,27824,21913,6547
23,154,MADHYA PRADESH,Govindpura,Bhopal,99778,468494,243937,224556,63319,32802,30517,12340,6392,5948,343998,187635,156363,124495,56302,68193,164655,140758,113230,27527,23897,5745,2582,64941,96906,2281,84126,13251,69152,77096,61131,48319,14531
23,155,MADHYA PRADESH,Huzur,Bhopal,85737,407732,212425,195307,59587,30989,28598,17313,8953,8359,276982,154791,122190,130749,57633,73116,151430,121837,95795,26041,29592,43378,2852,38201,79626,5524,57663,29501,43770,57873,50331,36486,9341
23,156,MADHYA PRADESH,Budhni,Vidisha,69271,359103,187882,171221,51613,27221,24392,86323,44190,42133,215109,127421,87688,143994,60461,83533,150009,105842,81545,24297,44167,116219,6506,8436,62183,6766,28240,58240,7307,28100,33581,17283,1748
23,157,MADHYA PRADESH,Ashta,Dewas,74845,374089,193885,180204,110102,57056,53046,11991,6110,5881,220919,134718,86201,153170,59167,94003,179044,108344,83955,24389,70700,131909,3545,7756,62336,12240,19340,60244,7721,26067,34708,14863,1439
23,158,MADHYA PRADESH,Ichhawar,Vidisha,78686,385999,201290,184709,73139,38312,34827,46035,23434,22601,231798,138402,93396,154201,62888,91313,176825,114881,84094,30787,61944,127905,4712,2401,65251,12906,26796,54912,16305,33819,37013,23816,5200
23,159,MADHYA PRADESH,Sehore,Bhopal,56504,292091,152613,139478,52615,27216,25399,4936,2605,2331,185591,108737,76854,106500,43876,62624,116361,75913,62591,13322,40448,57006,1262,8724,48516,7793,25697,37155,15208,31726,31282,18007,2177
23,16,MADHYA PRADESH,Gwalior East,Gwalior,61576,326017,173620,152396,56671,30210,26461,4342,2337,2004,243585,137841,105744,82431,35779,46652,101210,90843,78256,12587,10366,4170,1169,39528,59976,1233,56252,9772,45827,52476,38363,29538,5624
23,160,MADHYA PRADESH,Narsinghgarh,Rajgarh,82879,374990,192392,182598,77687,39948,37739,11495,5875,5620,213402,128901,84501,161588,63491,98097,174012,107754,76993,30761,66258,137896,4616,9062,67116,15349,15906,65086,10161,25373,38118,13486,1317
23,161,MADHYA PRADESH,Biaora,Rajgarh,66479,303850,156105,147745,55593,28579,27014,13009,6700,6309,157243,95997,61246,146607,60108,86499,144167,94868,67365,27503,49299,116341,3074,7477,46300,19438,12080,50283,7238,17939,30469,11454,1039
23,162,MADHYA PRADESH,Rajgarh,Rajgarh,63214,280870,143215,137655,45651,23388,22263,9374,4800,4574,122589,74402,48187,158281,68813,89468,140304,91285,61785,29500,49019,121175,4043,5432,36378,26543,7033,37863,4315,9500,19707,7061,593
23,163,MADHYA PRADESH,Khilchipur,Rajgarh,67476,294301,149066,145235,55202,27856,27346,2808,1437,1371,145966,89227,56739,148335,59839,88496,148926,91619,63602,28017,57307,126651,4601,3434,37227,30013,8909,48902,5063,10099,22122,6823,579
23,164,MADHYA PRADESH,Sarangpur,Rajgarh,63627,283498,145195,138303,59739,30561,29178,16959,8608,8351,160090,97326,62764,123408,47869,75539,135214,84023,59963,24060,51191,112284,4222,5223,45364,17380,10942,53968,4204,14429,26446,7505,682
