CleanArea,DistrictCode,Area,DistrictBroken,TotalPopulation2011,TotalMales2011,TotalFemales2011,TotalWorkers2011,TotalWokersMale2011,TotalWorkersFemale2011,MainWorkers2011,MainWokersMale2011,MainWorkersFemale2011,PerMainWorkers2011,PerMainMale2011,PerMainFemale2011,PerMainWorkersMale2011,PerMainWorkersFemale2011,Agriculture2011,Manufacturing2011,WholesaleRetail2011,Construction2011,Services2011,NonAgriculture2011,TotalPopulation2001,TotalMales2001,TotalFemales2001,TotalWorkers2001,TotalMaleWorkers2001,TotalFemaleWorkers2001,MainWorkersTotal2001,MainWorkersMale2001,MainWorkerFemale2001,PerMainWorkers2001,PerMainMale2001,PerMainFemale2001,PerMainWorkersMale2001,PerMainWorkersFemale2001,Agriculture2001,Manufacturing2001,WholesaleRetail2001,Construction2001,Services2001,NonAgriculture2001,PPChangeinMain,PPChangeinMainMale,PPChangeinMainFemale,PPChangeinFemaleParticipation,PPChangeAgriculture,PPChangeinManufacturing,PPChangeinWholesale,PPChangeinConstruction,PPChangeinServices
Dhule,498,District - Dhule ,0,2050862,1054031,996831,898536,531695,366841,809668,496717,312951,90.10968954,93.42141641,85.30971184,61.34823162,38.65176838,70.84755727,5.338237401,4.649313052,3.271464353,20.54274098,29.15244273,1707947,878372,829575,789653,447013,342640,653725,404705,249020,82.78636312,90.5353983,72.67686201,61.90752992,38.09247008,70.2368733,7.323721748,6.244827718,2.928142568,19.51126238,29.7631267,7.323326415,2.886018114,12.63284982,0.559298304,0.610683967,-1.985484347,-1.595514666,0.343321786,1.031478594
Jalgaon,499,District - Jalgaon ,0,4229917,2197365,2032552,1810382,1132051,678331,1629280,1046043,583237,89.99647588,92.40246243,85.98118028,64.20277669,35.79722331,70.21837867,5.344814888,4.895536679,4.041539821,20.39526662,29.78162133,3682690,1905493,1777197,1617567,957871,659696,1394058,876333,517725,86.18239615,91.48758027,78.47932987,62.86201865,37.13798135,71.04998501,6.305261331,6.043364049,2.909132906,19.73562076,28.95001499,3.814079728,0.914882164,7.501850406,-1.340758033,-0.831606337,-0.960446443,-1.147827371,1.132406916,0.659645865
Buldana,500,District - Buldana ,0,2586258,1337560,1248698,1157759,685912,471847,1063781,642785,420996,91.88276662,93.71245874,89.22298966,60.42456107,39.57543893,80.50867613,2.646785382,3.418466771,2.314762155,14.52977634,19.49132387,2232480,1147403,1085077,977544,555898,421646,893158,525522,367636,91.3675497,94.5356882,87.19067654,58.83863773,41.16136227,80.29329637,3.858891708,4.545556329,1.899551927,13.94825999,19.70670363,0.515216925,-0.823229461,2.032313116,-1.585923338,0.215379757,-1.212106326,-1.127089558,0.415210228,0.581516341
Akola,501,District - Akola ,0,1813906,932334,881572,741835,496084,245751,676241,462236,214005,91.15787203,93.17696197,87.08204646,68.35373779,31.64626221,66.3965953,4.857439877,6.451841873,4.303791104,24.44217372,33.6034047,1630239,841253,788986,629814,412260,217554,574620,389105,185515,91.23646029,94.38339883,85.27308163,67.71518569,32.28481431,66.49942571,6.073231005,7.852145766,3.671817897,23.75552539,33.50057429,-0.078588255,-1.20643686,1.808964836,-0.638552107,-0.102830411,-1.215791128,-1.400303893,0.631973207,0.686648331
Washim,502,District - Washim ,0,1197160,620302,576858,551457,322109,229348,494772,295919,198853,89.72086672,91.86921197,86.70361198,59.80916463,40.19083537,83.05037472,1.960903204,2.860913714,1.967977169,13.02074491,16.94962528,1020216,526094,494122,446508,248301,198207,397615,232795,164820,89.04991624,93.75516007,83.15548896,58.5478415,41.4521585,83.80267344,3.034845265,3.787331967,1.414182061,11.74829923,16.19732656,0.670950483,-1.885948093,3.54812302,-1.26132312,-0.752298722,-1.073942061,-0.926418253,0.553795109,1.272445675
Amravati,503,District - Amravati ,0,2888445,1480768,1407677,1229247,806733,422514,1081418,735999,345419,87.97401987,91.23204332,81.75326735,68.05869701,31.94130299,69.13533897,4.153805467,5.491401105,4.517772036,22.19308353,30.86466103,2607160,1345614,1261546,1108277,695463,412814,955513,634849,320664,86.21608136,91.28436739,77.67759814,66.44064497,33.55935503,70.07052756,5.076540037,6.479869976,3.400686333,21.45224607,29.92947244,1.757938509,-0.052324077,4.075669204,-1.618052034,-0.935188588,-0.92273457,-0.988468871,1.117085703,0.740837455
Wardha,504,District - Wardha ,0,1300774,668385,632389,599296,374608,224688,532697,345358,187339,88.88712756,92.19183787,83.37739443,64.83197765,35.16802235,66.5907636,7.14102013,4.991205132,4.953284888,21.31493138,33.4092364,1236736,638990,597746,580444,344389,236055,479441,304830,174611,82.59901041,88.51328004,73.97047298,63.58029455,36.41970545,68.81618385,6.924939669,5.764421483,4.272892806,19.98598368,31.18381615,6.28811715,3.678557827,9.406921448,-1.251683102,-2.225420243,0.21608046,-0.773216351,0.680392082,1.328947701
Nagpur,505,District - Nagpur ,0,4653570,2384975,2268595,1884878,1320830,564048,1699335,1223856,475479,90.15623292,92.65810135,84.29761297,72.01970182,27.98029818,32.3500075,15.60039663,10.71642731,10.08376806,41.96582781,67.6499925,4067637,2105314,1962323,1618044,1107787,510257,1394800,998556,396244,86.20284739,90.13971097,77.65576954,71.59133926,28.40866074,38.0460998,15.60402925,11.26319186,8.259392028,38.09047892,61.9539002,3.953385535,2.518390372,6.641843426,-0.428362564,-5.696092296,-0.003632626,-0.546764547,1.824376035,3.875348887
Bhandara,506,District - Bhandara ,0,1200334,605520,594814,693881,379552,314329,533475,308316,225159,76.88277961,81.2315572,71.63163437,57.7938985,42.2061015,72.74099067,6.688598341,3.45208304,4.060546417,16.50986457,27.25900933,1136146,573445,562701,640250,332186,308064,487595,274265,213330,76.15696993,82.5636842,69.24859769,56.24852593,43.75147407,72.04093561,10.83173535,4.098278284,3.226243091,13.90108594,27.95906439,0.725809678,-1.332126997,2.383036676,-1.545372567,0.700055062,-4.143137013,-0.646195244,0.834303326,2.608778625
Gondiya,507,District - Gondiya ,0,1322507,661554,660953,805479,433378,372101,599163,343918,255245,74.3859244,79.35751238,68.59562323,57.3997393,42.6002607,70.20443519,7.924387854,3.49187116,5.281033709,16.59014325,29.79556481,1200707,598834,601873,702494,350402,352092,533221,291076,242145,75.90399349,83.06916056,68.77321836,54.58824765,45.41175235,69.05560734,13.76990029,4.437559661,3.426346674,13.7481457,30.94439266,-1.518069086,-3.711648185,-0.177595132,-2.811491653,1.14882785,-5.845512431,-0.945688501,1.854687034,2.841997547
